version,seed,family,g_minus,g_plus,E_abs,prominence,K2_norm,K3_norm,K4_norm,K3_over_K2,K4_over_K2,slope_abs_K2,slope_abs_K2K3,slope_abs_K2K3K4
v32.24,25042000,dephasing,0,63,2.874552422746733,0.18871847023623955,0.8671059923641635,0.10370700745448377,6.72362463736562,0.11960130407094377,7.7540977649498934,3.037346967709936,3.9633203576102227,5.987075450605305
v32.24,25042000,dephasing,1,62,2.87344508633917,-0.31508147386664376,0.4069452174799496,0.10325975253181899,6.999913142554286,0.2537436197709011,17.20111907421341,3.0603772715332767,4.029050615773269,5.962586767373601
v32.24,25042000,dephasing,2,61,2.8439494108712084,0.30490189758471686,0.8797503615963489,0.1091032007092529,8.540402562071339,0.12401609078202588,9.707756807936256,3.0545325607864724,3.9726007337458844,5.969500053547935
v32.24,25042000,dephasing,3,60,2.8428147436945483,-0.37654043188966524,0.3963116777509593,0.10892399801906702,8.821269780514916,0.27484428073682565,22.25841496918536,3.0768865402448755,4.022465410783193,5.942453139041202
v32.24,25042000,dephasing,4,59,1.9787294107422513,0.09163904430626355,1.9240120148203552,0.15748140488588885,96.21038204609644,0.08185053090772557,50.0050838066516,3.517556780335589,4.001325796578422,5.172195631528741
v32.24,25042000,dephasing,5,58,1.9761806190048739,-0.047486139244666936,1.0066378678326915,0.07212644602918877,98.06135710800315,0.07165083724147815,97.41473099867673,3.731362559115876,3.998686267848966,5.166933626626362
v32.24,25042000,dephasing,6,57,1.966744402461953,0.46365890923314146,2.1726796598200595,0.13024855568162208,116.14871662271798,0.05994834769724369,53.45873980904179,3.6237181866462604,4.001207861547497,5.155895263336932
v32.24,25042000,dephasing,7,56,1.9644309918628977,-0.4975409645034512,1.2494623744346636,0.11234615533792597,118.33098918996986,0.0899155970092805,94.70552424078423,3.6662406466359467,3.998780619847739,5.151779910343894
v32.24,25042000,dephasing,8,55,1.6921458564839147,0.023834044377988334,3.6067441032136767,0.09761051679299687,227.4607106374159,0.02706333302271821,63.06538643391532,3.851406431508429,4.00183849044484,5.372380285071911
v32.24,25042000,dephasing,9,54,1.6886100349699211,0.01571539170803185,2.3337666526384497,0.15882496313178485,230.32106812489548,0.0680552029279468,98.69070151658264,3.746473925753555,3.998195167528692,5.354506267286306
v32.24,25042000,dephasing,10,53,1.6764420039565993,0.46343244789583143,3.1752730169244634,0.4592156159806098,167.59542431260923,0.14462240365882026,52.78142176099882,3.3725521629700412,4.001650118077949,5.911473836705955
v32.24,25042000,dephasing,11,52,1.6720595812293473,-0.2931208456369997,1.9107528466317056,0.7512181574693055,164.77047517789012,0.39315297046060166,86.23327473689189,3.2393263597188646,3.9983983702885544,5.895543695914348
v32.24,25042000,dephasing,12,51,1.4639107662982664,-0.1691666279032112,3.067379725091105,0.6109025978434603,133.46829734569866,0.19916106012121332,43.512153468946366,3.2413584531403137,4.001463408055714,5.143235380182597
v32.24,25042000,dephasing,13,50,1.4584129115423414,0.22512599499772068,1.7083425418461131,0.30079778979828586,147.43082490638903,0.17607580589384023,86.30050548707203,3.4517748780506157,3.9985836075993664,5.129356518748667
v32.24,25042000,dephasing,14,49,1.4334527954745644,0.29063541288859407,3.2114231813581027,0.10567725417713812,124.71369151683874,0.03290667352424338,38.83439972682069,3.698414623448226,4.001323929960499,5.274563554408257
v32.24,25042000,dephasing,15,48,1.4275616977982164,0.00545299082877565,1.9242790061605426,0.08470886303166433,138.59423916019512,0.04402109193130026,72.02398338104211,3.7750644707100047,3.9986474816619766,5.361227690365677
v32.24,25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,3.8981997514382516,0.1899678518529139,183.8503081511033,0.04873220049404209,47.162875140831666,3.646258189880318,4.001532006774353,5.5653576276595516
v32.24,25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,2.4210925556858527,0.09037848316714349,203.78254464027393,0.0373296274671089,84.16966305633284,3.8419624063197837,3.9985777090785204,5.5117678217582
v32.24,25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,3.7046961614833602,0.2745836199389736,175.83073650267593,0.0741177165333392,47.46158087962423,3.5311020921192693,4.001574409842025,5.490123018038935
v32.24,25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,2.299450341949954,0.1604299714833474,190.76904195085814,0.06976883499354085,82.96288833490719,3.6973905850792486,3.998401842771839,5.496260447756023
v32.24,25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,3.3438471422315525,0.26961917186716156,121.72724313040626,0.08063142853091912,36.40335157460884,3.4314222532920753,4.001332834407284,5.776815296208605
v32.24,25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,1.9634699758592966,0.035217788924975846,176.89138990310647,0.017936504941748886,90.09121202665267,3.950176700486547,3.998910928139524,5.385564231014944
v32.24,25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,2.970742373117055,0.3093928249752762,65.49786898848134,0.10414663613211446,22.04764357259213,3.233369298974557,4.001035148895158,5.308923403486498
v32.24,25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,1.9968541372169963,0.008300156621193648,116.60641238616734,0.004156616382988056,58.39505761231062,3.9915354312059765,3.9988230805706992,5.7033528953847625
v32.24,25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,2.3713177441735303,0.3222284867692638,144.0304045749751,0.13588583291336576,60.73855135140216,3.4323705342623394,4.005629587806739,5.445962456626507
v32.24,25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,1.2133689305273774,0.22075216665678732,135.44039266915945,0.18193326127185394,111.62342240813089,3.5121714706657623,3.994402707857017,5.346842804343959
v32.24,25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,2.4558214200409303,0.3157134933456135,147.9340492599926,0.12855718692296103,60.238113428266715,3.4461318829781202,4.006171137442601,5.389237064442251
v32.24,25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,1.437455880210931,0.2377579437303977,134.1271624319465,0.1654019069409694,93.30871596021771,3.4877831034852362,3.9937531957596484,5.293932330339441
v32.24,25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,7.542886475801149,0.07033659115137329,12.784431276160412,0.009324890594207528,1.694899070425496,3.220483103706213,4.015749086885876,5.045289845333487
v32.24,25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,7.5235180752471,0.07239973162943893,6.483316687036192,0.009623121909899984,0.8617400293576427,3.04567921811641,3.9893018604281525,4.992214289482834
v32.24,25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,11.391614159650569,0.07319491661619823,42.43408559433941,0.00642533319601508,3.725028340991585,3.5463496966886883,4.044301772210298,5.313969328325534
v32.24,25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,11.389448135618302,0.09520462422061478,51.169211461406924,0.008359019953116137,4.492685760724884,3.437018068927981,3.958954374743463,5.282290217033413
v32.24,25042000,transverse,0,63,2.874552422746733,0.18871847023623955,1.629020563513945,1.7639783313633813e-13,10.568057850447186,1.0828459571795217e-13,6.487369212608912,3.9151936955449904,3.9151936955447972,6.022158576445672
v32.24,25042000,transverse,1,62,2.87344508633917,-0.31508147386664376,1.3653611889586843,1.7519660259696502e-13,10.923125271472463,1.2831520627196215e-13,8.000172672114086,4.054058530484736,4.054058530484647,5.977954249369487
v32.24,25042000,transverse,2,61,2.8439494108712084,0.30490189758471686,1.5653227843132869,3.4781873047525266e-13,13.592544467109775,2.22202560367025e-13,8.683540930551825,3.940956453287638,3.9409564532797425,6.021549385082247
v32.24,25042000,transverse,3,60,2.8428147436945483,-0.37654043188966524,1.2636725165564349,3.4905423715012404e-13,13.470005415612565,2.7622206907000953e-13,10.65941154779479,4.042098021834795,4.042098021838962,5.978648547194662
v32.24,25042000,transverse,4,59,1.9787294107422513,0.09163904430626355,8.30967093820049,3.978914328942936e-11,2396.2536958045994,4.788293493851112e-12,288.3692643939427,4.009161575295494,4.009161575294588,6.00155673477032
v32.24,25042000,transverse,5,58,1.9761806190048739,-0.047486139244666936,1.8620478071955484,3.980214425222401e-11,2430.6334482571838,2.1375468502159458e-11,1305.3550176662698,3.9909197015866007,3.9909197015878277,5.996483961991553
v32.24,25042000,transverse,6,57,1.966744402461953,0.46365890923314146,5.755802136809821,3.334217868013337e-11,1268.2224076821162,5.792794451168172e-12,220.33808277937678,4.005576196746205,4.0055761967434815,5.9966852468901575
v32.24,25042000,transverse,7,56,1.9644309918628977,-0.4975409645034512,0.8725328228905387,3.386150788998809e-11,1175.789541980686,3.880829122028164e-11,1347.5590959266315,3.993842318580005,3.9938423185827814,6.002311030659028
v32.24,25042000,transverse,8,55,1.6921458564839147,0.023834044377988334,8.370536948895207,2.6456174794634913e-11,1508.5559027023096,3.1606305492896695e-12,180.22211859436538,4.005811188186539,4.0058111881884475,6.004903271722728
v32.24,25042000,transverse,9,54,1.6886100349699211,0.01571539170803185,4.374683517070551,2.6571201305388536e-11,1609.8181390447817,6.073856817689225e-12,367.98505143585226,3.994459088210414,3.9944590882081217,5.995209490566502
v32.24,25042000,transverse,10,53,1.6764420039565993,0.46343244789583143,7.936159557222205,1.2754489862378015e-11,1525.4011494800611,1.6071362691758106e-12,192.20898199959808,4.007420108158078,4.007420108159453,6.006859260224393
v32.24,25042000,transverse,11,52,1.6720595812293473,-0.2931208456369997,2.1267166840862965,1.3079364111477853e-11,1537.1408086805316,6.150026568817467e-12,722.776484607744,3.992613258619868,3.9926132586181535,5.993063478911473
v32.24,25042000,transverse,12,51,1.4639107662982664,-0.1691666279032112,5.158830350076126,1.0085731745857868e-11,296.01738898786795,1.95504233739903e-12,57.380717895384905,3.9977571794530458,3.9977571794538926,5.998010788804722
v32.24,25042000,transverse,13,50,1.4584129115423414,0.22512599499772068,6.5521443749541675,9.762330976127424e-12,383.78301603287235,1.4899444239117132e-12,58.57365071195595,4.000870223041261,4.000870223039274,6.000365283162376
v32.24,25042000,transverse,14,49,1.4334527954745644,0.29063541288859407,5.651038191788765,6.885622827571802e-12,206.80504225379508,1.218470410902018e-12,36.59593781445203,3.999559203300556,3.999559203296628,5.997703020018795
v32.24,25042000,transverse,15,48,1.4275616977982164,0.00545299082877565,6.593553103598272,6.5807437901308704e-12,279.0905063417554,9.980572972923522e-13,42.32778624160143,4.000918672997416,4.000918673000648,6.001137574471708
v32.24,25042000,transverse,16,47,1.0939615772545648,-0.12727287836418105,1.588161980353053,2.8864588992724633e-13,36.51051509192101,1.8174839436911777e-13,22.989163286609227,4.002855548198843,4.002855548199227,6.003070350872482
v32.24,25042000,transverse,17,46,1.0881648225246672,-0.0019399843253508076,1.108770102168715,2.9396310782943117e-13,51.958220742396634,2.65125391868386e-13,46.861130761704516,3.9981683529959096,3.9981683529972667,5.99617555286328
v32.24,25042000,transverse,18,45,1.0741101228597905,-0.025214000864455688,0.900029444929743,1.968787794091701e-13,18.772572038804704,2.1874704268651832e-13,20.85773098264591,3.99995913500737,3.999959135006419,5.995441722010983
v32.24,25042000,transverse,19,44,1.0687765868124621,-0.2796673059394926,0.8300863090711047,1.7342445241601196e-13,21.243966315199458,2.0892339811034838e-13,25.592478857978264,3.9984073669027183,3.998407366900933,5.9979653307803495
v32.24,25042000,transverse,20,43,0.6587625915442124,0.271925888444691,36.57140058305096,1.1947781759364595e-10,1302.2789384569446,3.266974075065038e-12,35.60921697542223,4.010046793960383,4.010046793971928,6.006816264572871
v32.24,25042000,transverse,21,42,0.6523641195267388,0.34473424651455187,33.335566674789625,1.2843159474299823e-10,10785.212911547489,3.852689711140441e-12,323.5347104419833,4.004340698628091,4.004340698627008,6.001784540001692
v32.24,25042000,transverse,22,41,0.6353883011550365,0.6326899225480247,37.5985821019905,1.392282478034269e-10,14276.610163549758,3.703018571970455e-12,379.7113977549153,4.00153282716131,4.001532827159998,6.002473198742022
v32.24,25042000,transverse,23,40,0.6293356210701317,0.16502413161883028,41.819561292763055,1.351262388337917e-10,2842.511817842497,3.231173036173755e-12,67.97086650295392,4.006919782608016,4.00691978261444,6.007365750312192
v32.24,25042000,transverse,24,39,0.2843715887463743,-0.5475178260577758,0.5943860319934512,5.29916886231396e-13,43.509732276824735,8.915365733850814e-13,73.20113517961019,4.0018337634406205,4.001833763438183,6.001685539228433
v32.24,25042000,transverse,25,38,0.2812054412565679,-0.46029967445888076,0.28098159706720194,5.664614753789326e-13,8.252592092356135,2.0160091667620925e-12,29.370578637512608,3.999123746956914,3.9991237469518564,5.9994095318741225
v32.24,25042000,transverse,26,37,0.26482062964046393,-0.585737424372401,0.5324347757832718,8.002824077042025e-13,8.543716165876582,1.5030618661729763e-12,16.046502885368092,4.0009473201474375,4.000947320151358,6.0009477277634105
v32.24,25042000,transverse,27,36,0.2619864687735263,-0.751304197451854,0.47756224691767213,7.449489403153464e-13,17.824287192684608,1.5598991442968314e-12,37.323484650907446,3.99869289441727,3.9986928944200857,5.998390247153656
v32.24,25042000,transverse,28,35,0.07278294475567904,0.1666843876215432,86.93439827648596,3.1343139227472056e-09,31380.011725131342,3.605378290856561e-11,360.9619707187761,4.003141970136131,4.003141970131702,5.956611523783765
v32.24,25042000,transverse,29,34,0.07081255002358793,0.12307328643041221,81.45057685459241,3.1485366232627914e-09,38450.513806264484,3.865579281143259e-11,472.07171871731856,3.9944771020391556,3.994477102042394,6.024051696844747
v32.24,25042000,transverse,30,33,0.048600388009180644,0.1783224940845633,63.02251907268115,1.2159112093491315e-09,22464.309239588805,1.929328162758575e-11,356.4489260367661,4.003661131193375,4.003661131205618,5.967819488037199
v32.24,25042000,transverse,31,32,0.04659378773055864,0.07724022316920248,58.30180850671296,1.2252797843079661e-09,21064.096548599664,2.1016153970024543e-11,361.2940505297415,3.99473410067516,3.9947341006622477,6.0110426213317725
