version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,7,128,25042000,dephasing,0,63,2.0980661030920427,-0.07233851692870197,0.9202306511684861,0.07943874073873342,0.9996693919072196,0.999834682288637,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,1,62,2.0976398146123945,0.4131252977235888,0.9188132286996122,-0.07781301332722448,0.8410002153723878,0.9170606388742174,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042000,dephasing,2,61,2.0971667283216426,0.2884246312137305,0.8665223959091476,0.09307490522540263,0.9595973011345502,0.9795903741536818,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,3,60,2.0969376644350497,-0.03423923012499319,0.8676722148285545,-0.09748604424660634,0.7701861705819482,0.8776025128621432,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,4,59,2.0381137162440677,0.0714436988184558,0.6887752599548818,0.27713001103486123,0.965905270989743,0.9828047980091179,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,5,58,2.0379642265731976,-0.14681096276119182,0.7012764035302217,-0.23803115198300076,0.46324525154722096,0.6806212247257801,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042000,dephasing,6,57,2.0366296135815745,0.2748198296629076,0.8089938496060375,0.07220614165849643,0.8811999912645339,0.938722531563259,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,7,56,2.0363504080632153,-0.036327066087050885,0.8184636460397731,-0.07937231681599625,0.7390913292237768,0.8597042103094394,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042000,dephasing,8,55,1.8565574598257302,-0.032638360782476894,0.7405274232533097,0.11141617269320132,0.8519435959465109,0.923007906762727,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,9,54,1.8552180676020753,0.3011705214936425,0.8049322111250723,-0.11175224494383629,0.693179966181236,0.8325743006970825,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,10,53,1.8536427808345262,-0.07536110828154863,0.8980120908621826,0.011068426576860912,0.9090805174390435,0.9534571398018075,63.0,0.0,64,32
v32.22,7,128,25042000,dephasing,11,52,1.8536402694348955,0.030170095285613485,0.8611152823622781,0.016809575217534744,0.8779248575798129,0.9369764445170501,63.0,0.0,64,32
