version,family,metric,order,n_seeds,median_rho,mean_rho,min_rho,max_rho,positive_seeds,negative_seeds,zero_seeds,sign_test_p_one_sided
v32.19,dephasing,A_group,1,12,0.2604687769535967,0.2693203381059169,-0.02647058823529412,0.7764705882352941,10,2,0,0.019287109375
v32.19,dephasing,C_group,1,12,0.25,0.2791885889253061,0.0029411764705882353,0.6617647058823529,12,0,0,0.000244140625
v32.19,dephasing,R1_E,1,12,0.041857857512506466,-0.0404350669886723,-0.34970674486803516,0.2323529411764706,7,5,0,0.38720703125
v32.19,dephasing,D1_E,1,12,0.030752975677074343,-0.006171295497671207,-0.3323529411764706,0.22058823529411767,6,6,0,0.61279296875
v32.19,transverse,A_group,2,12,0.2946329998274969,0.3113984963486861,-0.1323529411764706,0.8558823529411764,10,2,0,0.019287109375
v32.19,transverse,C_group,2,12,0.5194281524926685,0.4433482117187051,0.03079178885630498,0.7294117647058823,12,0,0,0.000244140625
v32.19,transverse,R2_E,2,12,-0.031341642228738996,0.011683126329710768,-0.4831378299120234,0.4978005865102638,5,6,1,0.80615234375
v32.19,transverse,D2_E,2,12,0.15285708124892183,0.17198658789028806,-0.3837976539589442,0.6823529411764706,10,2,0,0.019287109375
