seed,family,g_minus,g_plus,E_abs,prominence,A_group,C_group,cross_sum,n_qubits,dimension,n_groups,n_pairs
25042006,dephasing,0,63,3.116860080263603,0.2999613133596798,0.2574997312845696,0.973404455142375,3554.0292220601877,12,4096,64,32
25042006,dephasing,1,62,3.1157704056919,0.08045549999302354,-0.21860051942730546,0.6867152715761058,-3017.966456759643,12,4096,64,32
25042006,dephasing,2,61,2.975434217612466,0.10663191220860924,0.33473767223690387,0.7282951582063882,796.2749424905057,12,4096,64,32
25042006,dephasing,3,60,2.974503242457547,-0.08456286552525694,0.0704768013179289,0.5058316638587457,162.1797250333945,12,4096,64,32
25042006,dephasing,4,59,2.930241148888814,-0.3993720325891289,-0.09539531274864763,0.7446613639730244,-4603.53638240894,12,4096,64,32
25042006,dephasing,5,58,2.929447611778765,-0.5174525250970761,0.0911189669345412,0.8666236680396175,4322.478548387833,12,4096,64,32
25042006,dephasing,6,57,2.709020532501542,0.19521556467067164,-0.07404602486442399,0.6896599346044026,-329.00928551698235,12,4096,64,32
25042006,dephasing,7,56,2.707797009950297,-0.36722715628410135,0.06065028100835926,0.7825002001749921,268.4727290208575,12,4096,64,32
25042006,dephasing,8,55,2.524797312133998,0.47611723834800856,0.3981343635387057,0.8179666349192593,931.1462501242261,12,4096,64,32
25042006,dephasing,9,54,2.5242092775474414,0.08425208572811016,-0.17703964402550887,0.31983813538116546,-433.6806703229074,12,4096,64,32
25042006,dephasing,10,53,2.485809608855866,-0.048873775705490397,-0.2760080254796575,0.3786249053406472,-2106.5477326837167,12,4096,64,32
25042006,dephasing,11,52,2.4852640040563716,0.062474299065242545,0.22024638839099445,0.8023840264472193,1637.8757454118463,12,4096,64,32
25042006,dephasing,12,51,2.2337235039711034,-0.2650216930600815,-0.023405015675953815,0.5929011972288668,-55.93267322956899,12,4096,64,32
25042006,dephasing,13,50,2.2332983685790735,-0.14218895438168955,-0.056031368246767375,0.567083982697949,-131.85274256687262,12,4096,64,32
25042006,dephasing,14,49,2.177969583149554,0.07075555245198989,-0.14973903716875717,0.26294265862268357,-162.6645494080306,12,4096,64,32
25042006,dephasing,15,48,2.177845143773059,-0.06796631551513138,0.1462113342598034,0.6053738857997389,162.42720612049496,12,4096,64,32
25042006,dephasing,16,47,1.557461145135521,0.23766665023352596,0.027350123908529436,0.7715489147715997,48.18046518702363,12,4096,64,32
25042006,dephasing,17,46,1.5555278237285446,-0.208327294405053,-0.029299239914925418,0.7343635087854141,-51.552147093570056,12,4096,64,32
