seed,family,g_minus,g_plus,E_abs,prominence,real_pvp,null_pvp,delta_pvp,real_pvq2,null_pvq2,delta_pvq2,real_sigma,null_sigma,delta_sigma,real_gap,null_gap,delta_gap,real_pvq2_over_gap,null_pvq2_over_gap,delta_pvq2_over_gap,real_sigma_over_gap,null_sigma_over_gap,delta_sigma_over_gap,real_pvq2_asym,null_pvq2_asym,real_sigma_asym,null_sigma_asym,local_real_pvq2,local_real_sigma,local_real_gap,local_delta_pvq2,local_delta_sigma,local_delta_gap,sigma_trace,sigma_trace_abs,sigma_trace_ratio,sigma_traceless_fro,sigma_anisotropy,sigma_eval_std,sigma_eval_range,sigma_max_abs_eval,sigma_min_abs_eval,sigma_effective_rank,sigma_sign_cancellation,sigma_dominance
25042005,dephasing,9,22,1.3744954936377356,-0.06583057803881426,0.1781803444785105,0.5279969689792511,-0.3498166245007406,8.028505731344382,7.728733745153174,0.2997719861912076,33.318027139423094,36.14472061013804,-2.826693470714943,0.0049353713402200405,0.00015382304579181216,0.004781548294428228,1626.727793695547,50244.31615801854,-48617.58836432299,6750.865303265637,234975.97791072982,-228225.1126074642,3.552713678800501e-15,0.1880823045174882,2.6290081223123707e-13,9.937342116856563,-0.005824743133185706,-2.8100713942286433,-0.0005125759577064293,0.12531909305329325,1.014686773501257,-0.0005714321906966635,4.263256414560601e-13,89.40368712163206,0.9487049332519553,10.53392251706357,0.31616285300996866,3.724304022154657,7.462794487043029,14.912297047928272,7.449502560885243,7.200328403012776,1.0,0.4475744312688762
25042005,dephasing,8,23,1.3794308649779563,-0.02637529608574174,0.11998094715229563,0.5202112211940803,-0.40023027404178463,8.045858538823284,7.66169170464552,0.38416683417776376,36.16288069962207,43.262155170122625,-7.0992744705005535,0.0049353713402200405,4.451413312711594e-05,0.004890857207092925,1630.243802174481,172118.18284243692,-170487.93904026243,7327.28668356083,971874.5964698868,-964547.309786326,1.0658141036401503e-14,0.19645626787173853,4.263256414560601e-13,1.7713807730371727,0.012530259504812236,-15.477775724136563,0.0023781995502667463,0.12803468510921023,-20.431341378114144,0.0024116315244504527,5.258016244624741e-13,97.10338115616098,0.949349968300244,11.363125076327535,0.3142206831007876,4.017471398471054,8.04952808728283,16.165535055199463,8.116006967916633,7.2101228984933945,1.0,0.44702011406321407
25042005,dephasing,7,24,2.271922778248915,0.17654656949434444,0.14867124540353457,0.5378081040663765,-0.38913685866284187,8.038150827292561,7.825658515346662,0.21249231194589946,69.96328570809418,40.47245842215205,29.490827285942125,0.00017897223968654785,2.069168829832435e-06,0.00017690307085671542,44912.8358753882,3782029.9641670114,-3737117.128291623,390916.97031130607,19559766.14311824,-19168849.172806934,1.0516032489249483e-12,0.21845311576658677,2.3305801732931286e-12,3.302693449868144,6.717479682905036e-05,28.72508781090137,-0.0023781995502666353,-0.08418641486027933,25.35312864461188,-0.0023563353061891723,2.0463630789890885e-12,158.40841350391383,0.8005031657101069,41.93099287483001,0.5993285256752735,14.824844701838558,29.682420853208733,34.65350272227112,4.971081869062388,5.126442546495225,1.0,0.495309823881842
25042005,dephasing,6,25,2.272101750488603,0.34517017443102566,0.17304681544344985,0.47870719549844365,-0.3056603800549938,8.030308766168183,7.821118146733589,0.20919061943459383,46.313515094763545,30.9388433416025,15.374671753161046,0.0001789722396863258,3.3526926874749563e-06,0.00017561954699885085,44869.01868268753,2332787.0687199724,-2287918.050037285,258774.85344059244,9228058.228296418,-8969283.374855826,1.0942358130705543e-12,0.31859928071285193,4.817479748453479e-12,17.065097118111936,-0.008699729246544052,-24.279402037839986,-0.003065467181851078,-0.06941063981920337,-19.519107194853433,-0.0028296172359262295,7.503331289626658e-12,105.13059830363181,0.8025579446797606,27.629447026188224,0.5965741742913433,9.768484676326093,19.572615948368128,22.93437040513489,3.36175445676676,5.152794036548815,1.0,0.49519822363316945
25042005,dephasing,5,26,2.284082180079733,0.3329167054614618,0.14278586402701227,0.537448834743095,-0.39466297071608275,8.039866163536894,7.695155956975199,0.34471020656169493,71.22254855711287,30.92581794702604,40.29673061008683,0.00630990660338826,0.00047633610839481477,0.005833570494993445,1274.16563649606,16154.886898889075,-14880.721262393015,11287.41723670968,64924.36202504502,-53636.94478833534,2.4868995751603507e-14,0.2431523301014975,8.398615136684384e-12,16.789776578024757,0.009322402948441777,23.860499233879914,0.003065467181851078,0.16400497973611383,32.916620108996156,0.002609758135436957,-9.734435479913373e-12,161.21353909693397,0.8002745550667334,42.70744401682763,0.5996337519792742,15.099361635721834,30.20941330350769,35.258386181024804,5.048972877517109,5.123514907898064,1.0,0.4950452756229489
25042005,dephasing,4,27,2.2903920866831227,0.16647536389908857,0.171683463077053,0.5107772852916411,-0.3390938222145881,8.030778755008722,7.878558920792154,0.15221983421656837,48.41058355170237,49.02503430268207,-0.6144507509796995,0.006309906603388038,3.790143127391232e-05,0.006272005172114126,1272.72545534932,207869.69399266437,-206596.96853731506,7672.155325676107,1293487.677243106,-1285815.52191743,1.7763568394002505e-14,0.24478159446821834,3.396394276933279e-12,1.3359968923949523,0.0017954136861142445,-14.601015799975954,-0.0002750900551259372,-0.17452864873624208,-25.470884388432328,-6.665922556436943e-05,3.609557097661309e-12,109.67480297299613,0.8009797777450769,28.983000171146294,0.5986914026804186,10.247037980074204,20.50935386618049,23.96992827628955,3.46057441010906,5.132548834852423,1.0,0.4951381809039697
25042005,dephasing,3,28,2.614861447493345,-0.30031567971121564,0.20531304730711464,0.5009785665028634,-0.2956655191957488,8.018100519108323,7.709313759764397,0.30878675934392597,54.80065014624378,45.38451348142536,9.416136664818424,0.00686008671363969,1.6328413276145426e-05,0.006843758300363545,1168.8045434128683,472141.0237103148,-470972.21916690195,7988.331989635846,2779480.939996092,-2771492.6080064564,1.9539925233402755e-14,0.14978647587109162,4.9666937229631e-12,1.029207199651914,0.00413406925874682,10.792988388428554,0.00027509005512615925,0.13283132231457717,10.188727308539193,0.00032123928373706256,5.5919713304319885e-12,124.79859960922442,0.8051540979054979,32.50038381924235,0.5930656613107725,11.490620894875908,22.999045606867142,27.103116764144055,4.104071157276914,5.186184970992128,1.0,0.4945765550557394
25042005,dephasing,2,29,2.621721534206986,-0.11548730586026607,0.25119677906455073,0.4872335888651252,-0.23603680980057445,7.997154144690429,7.797463104848299,0.19969103984212921,39.60473996392808,40.53547050038992,-0.9307305364618372,0.006860086713639024,8.705385250018516e-05,0.006773032861138839,1165.7511746594573,89570.56903175784,-88404.81785709839,5773.212732892588,465636.7218246166,-459863.509091724,1.2434497875801753e-14,0.26754940102301283,2.2097879082139116e-12,4.869505344742485,-0.0029036747475998936,-16.15981355298399,-0.0003821180738005081,-0.05741602926916656,-15.273234034799302,-0.0004195501194127482,2.5295321393059567e-12,90.25194569180343,0.8056833963823433,23.459725381296202,0.592346406078244,8.294265450944351,16.607223377387633,19.5881980709092,2.9809746935215626,5.193005881649506,1.0,0.4945922656921896
25042005,dephasing,1,30,2.6293458570682278,-0.3248275795281987,0.279712078278932,0.4846437546149082,-0.2049316763359762,7.982015119767733,7.776587740889068,0.20542737887866558,56.728456887580364,37.45958655572386,19.268870331856505,0.007624322861239374,8.291520049974466e-05,0.00754140766073963,1046.9146263921743,93789.65128249333,-92742.73665610116,7440.458375126949,451781.8968047869,-444341.43842966,1.0658141036401503e-14,0.20161949351925124,4.803268893738277e-12,7.561660316139516,0.004002821460415973,15.90212880856528,-0.0018986447934643547,0.015591184050917306,19.810604413563524,-0.0019213635419179642,-5.4143356464919634e-12,130.38650629396943,0.8126184620039707,33.06112056332405,0.5827960494120574,11.688871271976222,23.39685036284262,28.001211899010844,4.604361536168224,5.28279011831759,1.0,0.49360080346449875
25042005,dephasing,0,31,2.6415317056639975,0.20075810182977327,0.31840778033622996,0.4898408811927073,-0.17143310085647734,7.958870451924206,7.778889102110838,0.17998134981336733,42.047916194102086,42.20065382105429,-0.15273762695220228,0.012185848595768434,3.3339051592085056e-05,0.012152509544176349,653.1240224573235,233326.6463991917,-232673.52237673439,3450.5529806683576,1265802.4690502307,-1262351.9160695623,1.2434497875801753e-14,0.08494329241342147,3.0055957722652238e-12,3.7768603192472057,-0.023144667843527422,-14.680540693478278,0.004561525734529059,-0.025446029065298248,-19.421607958808707,0.004611101883436719,-3.417710559006082e-12,97.01651094197067,0.8157483055456238,24.320810674133455,0.5784070383384384,8.598705075816966,17.2123739652286,20.73671532891929,3.5243413636906906,5.32356238400445,1.0,0.49316868006476755
