version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K5_norm,K6_norm,K3_over_K2,K5_over_K2
v32.25,25042000,dephasing,0,-2.8745524227467336,4,0.8671059923641611,0.10370700745445366,6.723624637371568,1.0736753640278147,8379.611374001035,0.11960130407090938,1.2382285135643487
v32.25,25042000,dephasing,1,-2.87344508633917,4,0.40694521747995555,0.10325975253184878,6.999913142569097,1.2119687175650966,8353.907262954637,0.2537436197709706,2.978210986408246
v32.25,25042000,dephasing,2,-2.8439494108712084,4,0.8797503615963503,0.10910320070934479,8.540402562068202,1.4359584816741688,8076.63074767205,0.12401609078213012,1.632234034060016
v32.25,25042000,dephasing,3,-2.8428147436945483,4,0.3963116777509657,0.10892399801897332,8.821269780526045,1.5857911868808274,8049.230638361028,0.27484428073658473,4.001373857767842
v32.25,25042000,dephasing,4,-1.9787294107422497,4,1.9240120148205346,0.15748140488533321,96.21038204611699,30.1265580437358,4801.254798994525,0.08185053090742915,15.658196420642364
v32.25,25042000,dephasing,5,-1.976180619004873,4,1.0066378678327537,0.07212644602988873,98.06135710800939,30.942498999643647,4851.716510438876,0.07165083724216907,30.73846115710058
v32.25,25042000,dephasing,6,-1.966744402461952,4,2.1726796598203624,0.13024855567785706,116.14871662274666,36.05646360535957,5297.643235013177,0.059948347695502446,16.59538875986013
v32.25,25042000,dephasing,7,-1.964430991862898,4,1.2494623744349258,0.11234615534163889,118.33098918999401,37.52193664801143,5421.589751225608,0.08991559701223326,30.030465435168367
v32.25,25042000,dephasing,8,-1.6921458564839145,4,3.6067441032141363,0.09761051679420317,227.46071063747783,43.048412753039706,15690.46440498987,0.027063333023049217,11.935532857647782
v32.25,25042000,dephasing,9,-1.6886100349699225,4,2.33376665263901,0.1588249631309407,230.32106812497182,45.35467288515851,15676.810764439406,0.06805520292756875,19.4341078761545
v32.25,25042000,dephasing,10,-1.6764420039566006,4,3.175273016924499,0.45921561597930927,167.5954243126132,3.044118416498615,10372.99801375442,0.14462240365840906,0.9586950162311026
v32.25,25042000,dephasing,11,-1.6720595812293486,4,1.91075284663177,0.751218157468014,164.77047517789794,3.2045687105873646,9947.907320024486,0.3931529704599125,1.6771236092811808
v32.25,25042000,dephasing,12,-1.4639107662982664,4,3.0673797250910133,0.6109025978428,133.4682973456885,53.73763625639124,7318.357851889947,0.19916106012100399,17.519068740273678
v32.25,25042000,dephasing,13,-1.458412911542341,4,1.7083425418460316,0.30079778979779637,147.4308249063808,61.50366006589227,7892.254488459153,0.17607580589356212,36.00194841453256
v32.25,25042000,dephasing,14,-1.4334527954745657,4,3.2114231813577887,0.1056772541772091,124.71369151680827,24.69423434860859,6196.536104283795,0.0329066735242687,7.689498690785396
v32.25,25042000,dephasing,15,-1.4275616977982162,4,1.924279006160242,0.08470886303175297,138.59423916016385,19.97595596999737,7069.60250981403,0.044021091931353194,10.38100811059511
v32.25,25042000,dephasing,16,-1.0939615772545643,4,3.898199751438385,0.1899678518539137,183.85030815111745,14.644271611886031,10583.659533102913,0.0487322004942969,3.7566755286161224
v32.25,25042000,dephasing,17,-1.0881648225246672,4,2.421092555685932,0.09037848316803664,203.78254464028268,18.12783360627715,10970.553030420626,0.037329627467476575,7.48745997492081
v32.25,25042000,dephasing,18,-1.0741101228597911,4,3.704696161483001,0.27458361993987823,175.8307365026366,18.75896206024882,10405.919983612559,0.07411771653359059,5.063562905720061
v32.25,25042000,dephasing,19,-1.0687765868124615,4,2.2994503419496493,0.16042997148431512,190.7690419508211,20.113377923169345,11524.065338964629,0.06976883499397094,8.7470373054961
v32.25,25042000,dephasing,20,-0.6587625915442124,4,3.3438471422315312,0.26961917186719186,121.72724313040484,3.765184653554573,6133.71562004701,0.0806314285309287,1.1260038193737112
v32.25,25042000,dephasing,21,-0.6523641195267387,4,1.9634699758592724,0.035217788924743754,176.89138990310533,19.34952275445811,7489.702507935768,0.017936504941630904,9.854758663162235
v32.25,25042000,dephasing,22,-0.6353883011550365,4,2.9707423731170763,0.30939282497577747,65.49786898848245,8.892481916311828,2558.193283380401,0.10414663613228246,2.9933534448432555
v32.25,25042000,dephasing,23,-0.6293356210701319,4,1.9968541372170114,0.0083001566214925,116.60641238617013,4.331988087294369,5264.502287697752,0.004156616383137687,2.169406371029084
v32.25,25042000,dephasing,24,-0.2843715887463746,4,2.3713177441735316,0.32222848676890675,144.0304045749746,65.62470283049306,30789.176514800278,0.13588583291321513,27.674360802864506
v32.25,25042000,dephasing,25,-0.28120544125656827,4,1.2133689305273698,0.22075216665612094,135.44039266916178,86.08807271577405,29314.69709928151,0.18193326127130585,70.94962673748152
v32.25,25042000,dephasing,26,-0.26482062964046393,4,2.455821420040952,0.31571349334425053,147.9340492599929,90.73728901604348,34795.687465012496,0.12855718692240492,36.94783679121521
v32.25,25042000,dephasing,27,-0.26198646877352644,4,1.4374558802109254,0.23775794372909984,134.1271624319538,116.38897842841713,32399.77119421886,0.16540190694006718,80.96873095773817
v32.25,25042000,dephasing,28,-0.07278294475567904,4,7.542886475801146,0.07033659115146858,12.784431276155045,122.97559578186011,10308.496525212466,0.009324890594220163,16.30351937237642
v32.25,25042000,dephasing,29,-0.07081255002358791,4,7.523518075247102,0.07239973162937627,6.483316687032111,132.10285557198173,3669.621955394546,0.009623121909891653,17.558654641451493
v32.25,25042000,dephasing,30,-0.048600388009180505,4,11.391614159650551,0.07319491661639545,42.43408559433721,260.1328755583193,81086.87140643413,0.006425333196032402,22.83547106780688
v32.25,25042000,dephasing,31,-0.046593787730558514,4,11.389448135618318,0.09520462422058877,51.16921146140527,287.39611522610045,86652.22402515264,0.008359019953113842,25.233541766376206
v32.25,25042000,dephasing,32,0.04659378773055864,4,11.389448135618288,0.09520462422064079,51.16921146140858,287.39611522637114,86652.22402513828,0.008359019953118432,25.23354176640004
v32.25,25042000,dephasing,33,0.048600388009180644,4,11.391614159650588,0.07319491661600103,42.43408559434161,260.1328755584833,81086.8714064486,0.006425333195997758,22.8354710678212
v32.25,25042000,dephasing,34,0.07081255002358793,4,7.5235180752470985,0.07239973162950158,6.483316687040272,132.10285557218256,3669.621955402037,0.009623121909908314,17.558654641478196
