seed,pair_rank,group,partner_group,sign,energy,partner_energy,dim_p,family,basis,pvp_fro,pvq_fro,pvq_fro_sq,gap_pq,sigma_fro,sigma_trace_abs,discovery_prominence
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,dephasing,REAL,1.4614679257728333e-14,1.7826101484313892,3.1776989412905796,0.006052680084904227,2.9707423731170772,5.936110786572226,0.5980939828257208
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,dephasing,NULL,0.31566527101860076,1.8556826608823522,3.443558137899407,0.0005819164841425195,18.084293784927464,11.975915998415399,0.5980939828257208
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,transverse,REAL,4.452251352947338e-14,2.698973209573104,7.284456385993342,0.006052680084904227,37.59858210199096,75.19612767137264,0.5980939828257208
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,transverse,NULL,0.4190531541044256,2.6933695937958344,7.254239768783938,0.0005819164841425195,24.490870422795552,24.283440310774004,0.5980939828257208
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,dephasing,REAL,1.5563642294361253e-14,1.7826101484313885,3.177698941290577,0.006052680084904338,2.970742373117036,5.936110786572145,0.6326899225480247
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,dephasing,NULL,0.31196685450291606,1.8963747097879327,3.596237039923266,0.0013406852839094041,11.318792962794312,5.888730963891067,0.6326899225480247
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,transverse,REAL,4.029332570398011e-14,2.6989732095731034,7.284456385993339,0.006052680084904338,37.598582101990075,75.1961276713709,0.6326899225480247
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,transverse,NULL,0.4089179161952459,2.6883469147802233,7.227209134208345,0.0013406852839094041,31.94963678832205,18.8142809778402,0.6326899225480247
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,dephasing,REAL,3.35079068622655e-14,1.8418423083603501,3.392383088866183,0.0023134105990521014,2.172679659820364,4.34502784562877,0.43114863967686895
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,dephasing,NULL,0.2236659628636044,1.8396384449140357,3.3842696080057317,0.0002899788009098625,18.900503993147826,20.947173187621182,0.43114863967686895
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,transverse,REAL,5.89047044126936e-14,2.6978944728450585,7.278634586607916,0.0023134105990521014,5.755802136810343,11.511578482640168,0.43114863967686895
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,transverse,NULL,0.365274549956031,2.605513914549231,6.7887027589096585,0.0002899788009098625,29.007739878211076,18.87773404471181,0.43114863967686895
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,dephasing,REAL,6.312139733686813e-14,1.841842308360372,3.392383088866264,0.002313410599054766,2.1726796598197566,4.345027845627553,0.46365890923314146
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,dephasing,NULL,0.22468318664241957,1.845502863923974,3.4058808207515896,0.0003908566250019341,14.04238058786422,9.017722658126491,0.46365890923314146
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,transverse,REAL,7.804958007623857e-14,2.697894472845053,7.278634586607887,0.002313410599054766,5.755802136809305,11.511578482638093,0.46365890923314146
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,transverse,NULL,0.36356372925413954,2.7268064576783533,7.435473457636369,0.0003908566250019341,31.943656261587368,22.30295125373066,0.46365890923314146
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,dephasing,REAL,1.0592192499340012e-14,1.9121516296052397,3.6563238546019736,0.00438242272725109,3.175273016924498,6.350529729855103,0.46343244789583143
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,dephasing,NULL,0.18992818959788604,1.833482629969918,3.3616585544014077,0.00096233556298575,14.01861804220325,11.635286577303976,0.46343244789583143
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,transverse,REAL,1.6709641760794677e-14,2.6976081645382934,7.277089809383661,0.00438242272725109,7.936159557222268,15.869649632755959,0.46343244789583143
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,transverse,NULL,0.32331998669881523,2.7846583418354403,7.754322080753703,0.00096233556298575,29.748232561899908,27.259049104648067,0.46343244789583143
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,dephasing,REAL,2.994469786806998e-14,1.912151629605244,3.6563238546019905,0.0043824227272506455,3.1752730169244288,6.350529729854966,0.31803473453062064
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,dephasing,NULL,0.21499866854905672,1.789912019741901,3.203785038416531,0.0011657235541828737,10.827328877601673,8.448379699478192,0.31803473453062064
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,transverse,REAL,3.2845639139569616e-14,2.6976081645382903,7.277089809383644,0.0043824227272506455,7.936159557222144,15.869649632755701,0.31803473453062064
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,transverse,NULL,0.2750983783019667,2.6556570084354543,7.052514146452347,0.0011657235541828737,16.401216338068902,5.608971513144541,0.31803473453062064
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,dephasing,REAL,1.4572279857549982e-14,1.7837893464314423,3.181904432442312,0.0063984720174732335,1.963469975859274,3.9209583251665823,0.34473424651455187
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,dephasing,NULL,0.21356957337661497,1.8416210098814152,3.3915679440366437,3.937038439483231e-06,9.420636257993163,11.44868912325052,0.34473424651455187
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,transverse,REAL,4.1741383814303365e-14,2.696910516771207,7.273326335471139,0.0063984720174732335,33.335566674789334,66.67033414742689,0.34473424651455187
