seed,family,metric,pearson,spearman,n_pairs
25042000,dephasing,coherence_obs,0.442175876631455,0.4567448680351906,32
25042000,dephasing,coherence_excess,0.31036029079718624,0.3504398826979471,32
25042000,dephasing,coherence_z,0.33434882752555706,0.36253665689149556,32
25042000,dephasing,coherence_rand_mean,0.1605138825386358,0.1345307917888563,32
25042000,transverse,coherence_obs,0.7177551225593106,0.7093108504398825,32
25042000,transverse,coherence_excess,0.3259501562305303,0.4024926686217009,32
25042000,transverse,coherence_z,0.2976554135596732,0.35593841642228735,32
25042000,transverse,coherence_rand_mean,0.5829988387931283,0.5535190615835777,32
25042001,dephasing,coherence_obs,0.0021934721417516483,0.0823529411764706,16
25042001,dephasing,coherence_excess,-0.008586023226768762,0.06470588235294117,16
25042001,dephasing,coherence_z,-0.1503540565482582,-0.03529411764705882,16
25042001,dephasing,coherence_rand_mean,0.009239018175881962,0.14705882352941177,16
25042001,transverse,coherence_obs,0.3422022328786598,0.39999999999999997,16
25042001,transverse,coherence_excess,0.27087604750202016,0.35000000000000003,16
25042001,transverse,coherence_z,0.1160764357506016,0.2764705882352941,16
25042001,transverse,coherence_rand_mean,0.22431687078477933,0.17352941176470588,16
25042002,dephasing,coherence_obs,0.193445002259223,0.07038123167155425,32
25042002,dephasing,coherence_excess,0.12889137885829186,-0.00843108504398827,32
25042002,dephasing,coherence_z,0.1067313703510987,-0.011363636363636362,32
25042002,dephasing,coherence_rand_mean,0.2217241324572346,0.24303519061583576,32
25042002,transverse,coherence_obs,0.18328763607587426,0.14772727272727273,32
25042002,transverse,coherence_excess,0.06593014782158607,-0.0813782991202346,32
25042002,transverse,coherence_z,0.02269427943084003,-0.02419354838709677,32
25042002,transverse,coherence_rand_mean,0.12335059635719028,0.1315982404692082,32
25042003,dephasing,coherence_obs,0.41477956478122757,0.4241202346041055,32
25042003,dephasing,coherence_excess,0.3116054524331289,0.35593841642228735,32
25042003,dephasing,coherence_z,0.29475964002573507,0.3489736070381231,32
25042003,dephasing,coherence_rand_mean,0.2365392825597479,0.06414956011730204,32
25042003,transverse,coherence_obs,0.5553467971835556,0.6019061583577713,32
25042003,transverse,coherence_excess,0.3516031563327913,0.3914956011730205,32
25042003,transverse,coherence_z,0.3276405269792298,0.405425219941349,32
25042003,transverse,coherence_rand_mean,0.4082102808722991,0.13929618768328444,32
25042004,dephasing,coherence_obs,0.37360438831888754,0.35923753665689145,32
25042004,dephasing,coherence_excess,0.2909084716139366,0.31891495601173014,32
25042004,dephasing,coherence_z,0.30112863921530186,0.3203812316715542,32
25042004,dephasing,coherence_rand_mean,0.189961266760591,0.15505865102639294,32
25042004,transverse,coherence_obs,0.43559708088943605,0.4915689149560116,32
25042004,transverse,coherence_excess,0.4910670499315976,0.5278592375366569,32
25042004,transverse,coherence_z,0.43155497296170736,0.49266862170087966,32
25042004,transverse,coherence_rand_mean,-0.09505213086786032,-0.14516129032258063,32
25042005,dephasing,coherence_obs,0.22726254330991608,0.28529411764705886,16
25042005,dephasing,coherence_excess,0.4659428102949323,0.6588235294117648,16
25042005,dephasing,coherence_z,0.4562103616125293,0.4382352941176471,16
25042005,dephasing,coherence_rand_mean,-0.490327403979295,-0.27941176470588236,16
25042005,transverse,coherence_obs,0.6328312904583969,0.7029411764705883,16
25042005,transverse,coherence_excess,0.29016361508943017,0.4176470588235294,16
25042005,transverse,coherence_z,0.14418076022658474,0.15294117647058825,16
25042005,transverse,coherence_rand_mean,0.6488846064921202,0.5882352941176471,16
25042006,dephasing,coherence_obs,0.571481975026958,0.5692815249266862,32
25042006,dephasing,coherence_excess,0.5488527341031278,0.5714809384164222,32
25042006,dephasing,coherence_z,0.5390681242276635,0.5747800586510263,32
25042006,dephasing,coherence_rand_mean,0.2945672983641502,0.2749266862170087,32
25042006,transverse,coherence_obs,-0.164279977244676,-0.05535190615835778,32
25042006,transverse,coherence_excess,0.10865730344016854,0.17925219941348972,32
25042006,transverse,coherence_z,0.15311817929180105,0.18658357771260994,32
25042006,transverse,coherence_rand_mean,-0.4758775792814052,-0.31561583577712604,32
25042007,dephasing,coherence_obs,0.25732534022483977,0.3058823529411765,16
25042007,dephasing,coherence_excess,0.3145931896232151,0.3058823529411765,16
25042007,dephasing,coherence_z,0.24587711236561194,0.22647058823529412,16
25042007,dephasing,coherence_rand_mean,0.12824510506582504,0.2411764705882353,16
25042007,transverse,coherence_obs,-0.0019844436844037383,0.0588235294117647,16
25042007,transverse,coherence_excess,-0.10995585692917263,-0.08529411764705883,16
25042007,transverse,coherence_z,-0.2114095896801921,-0.17352941176470588,16
25042007,transverse,coherence_rand_mean,0.24128784330128714,0.16176470588235295,16
25042008,dephasing,coherence_obs,0.1310993721085046,0.19208211143695011,32
25042008,dephasing,coherence_excess,0.32096381583140215,0.3244134897360703,32
25042008,dephasing,coherence_z,0.4194714127615122,0.3984604105571847,32
25042008,dephasing,coherence_rand_mean,-0.09148431223459452,-0.03995601173020528,32
25042008,transverse,coherence_obs,0.6146918517949856,0.593108504398827,32
25042008,transverse,coherence_excess,0.5247529561980083,0.43511730205278587,32
25042008,transverse,coherence_z,0.4968661485082623,0.41129032258064513,32
25042008,transverse,coherence_rand_mean,0.2908029768460395,0.34860703812316707,32
25042009,dephasing,coherence_obs,0.658026356766588,0.6764705882352942,16
25042009,dephasing,coherence_excess,0.7575628855323282,0.788235294117647,16
25042009,dephasing,coherence_z,0.49308168668773444,0.4941176470588235,16
25042009,dephasing,coherence_rand_mean,0.13259134683521004,-0.0058823529411764705,16
25042009,transverse,coherence_obs,0.5496259127946358,0.17058823529411765,16
25042009,transverse,coherence_excess,0.45639349741289637,0.25,16
25042009,transverse,coherence_z,0.3801670018059271,0.06764705882352941,16
25042009,transverse,coherence_rand_mean,0.18081012461097126,0.08823529411764705,16
25042010,dephasing,coherence_obs,0.006833930856032546,-0.02941176470588235,16
25042010,dephasing,coherence_excess,-0.04423467094784241,0.0588235294117647,16
25042010,dephasing,coherence_z,0.17685281059857058,0.07647058823529412,16
25042010,dephasing,coherence_rand_mean,0.04777512038393113,0.07941176470588236,16
25042010,transverse,coherence_obs,0.7902022440798717,0.7617647058823529,16
25042010,transverse,coherence_excess,0.8697773437437633,0.8588235294117647,16
25042010,transverse,coherence_z,0.8931664112711244,0.8676470588235294,16
25042010,transverse,coherence_rand_mean,0.020505117395496115,0.11470588235294117,16
25042011,dephasing,coherence_obs,0.06937493965384882,0.31176470588235294,16
25042011,dephasing,coherence_excess,0.1541114798757059,0.25588235294117645,16
25042011,dephasing,coherence_z,0.05180802811495276,0.12058823529411765,16
25042011,dephasing,coherence_rand_mean,-0.006551210573797876,0.11176470588235293,16
25042011,transverse,coherence_obs,0.7165199724000888,0.7176470588235294,16
25042011,transverse,coherence_excess,0.7200135274763965,0.7676470588235293,16
25042011,transverse,coherence_z,0.6832807101968157,0.5941176470588235,16
25042011,transverse,coherence_rand_mean,0.2734211469132349,0.29705882352941176,16
