version,seed,family,target_group,partner_target_group,target_energy,K3_norm,K3_reconstruction_residual,K3_pair_cancel_sum_norm,median_K3_anti_pair_residual,median_K3_same_pair_residual,median_K3_pair_sum_norm,median_K5_anti_pair_residual,median_K5_same_pair_residual,median_K5_pair_sum_norm,n_K3_pairs,n_K5_samples
v32.26,25042000,dephasing,32,31,0.04659378773055864,0.09520462422064671,0.0,0.19182676967746737,0.010689686885224271,1.9999714324443316,1.0085466245164262e-07,0.013493148527618869,1.9999544771302904,2.9383004449303713e-10,2047,200
v32.26,25042000,dephasing,33,30,0.048600388009180644,0.07319491661598611,0.0,0.21607983403633804,0.010284383976616476,1.999973557686434,9.106034749645671e-08,0.01480200239712737,1.9999451399824753,1.3048879113379146e-10,2047,200
v32.26,25042000,dephasing,34,29,0.07081255002358793,0.07239973162950167,0.0,0.09505531698972829,0.010259504590504523,1.9999736854677157,7.110531307849151e-08,0.011553306690740544,1.9999666161672973,2.104856005065754e-11,2047,200
v32.26,25042000,dephasing,35,28,0.07278294475567904,0.07033659115126738,0.0,0.1139408349729697,0.010947408864117632,1.999970038332631,9.03794675596921e-08,0.010068249970103617,1.9999745594093903,1.0264446088859687e-10,2047,200
v32.26,25042000,dephasing,36,27,0.2619864687735263,0.23775794373170062,0.0,0.7009007105899253,0.007924662333895082,1.9999842998700303,3.57739732422984e-08,0.010134650435196228,1.9999742704649357,5.335750115680132e-11,2047,200
v32.26,25042000,dephasing,37,26,0.26482062964046393,0.31571349334705673,0.0,0.7528672082717808,0.008383762698204903,1.9999824280530278,3.252648321058149e-08,0.015093547525448857,1.9999430453170772,1.2029914098530643e-10,2047,200
v32.26,25042000,dephasing,38,25,0.2812054412565679,0.220752166657361,0.0,0.5543363072195381,0.007624376033100703,1.9999854671696133,3.265079024648645e-08,0.0073206759971953545,1.9999865879905419,4.4608107665251633e-11,2047,200
v32.26,25042000,dephasing,39,24,0.2843715887463743,0.32222848676972066,0.0,0.5999254793940573,0.006717707456679037,1.9999887180697933,3.082270310621162e-08,0.010413553040240938,1.9999728588614325,9.375796492377306e-11,2047,200
v32.26,25042000,dephasing,40,23,0.6293356210701317,0.008300156620895529,0.0,0.2734804077295293,0.007025445589572589,1.99998766074013,6.261388464441048e-09,0.005425782559574604,1.9999926402064758,8.5251109064e-12,2047,200
v32.26,25042000,dephasing,41,22,0.6353883011550365,0.30939282497474707,0.0,0.26575315738598637,0.005819788378850273,1.9999915324976933,7.479906237459853e-09,0.0076809493945727576,1.9999852506971032,1.1956564114588033e-11,2047,200
v32.26,25042000,dephasing,42,21,0.6523641195267388,0.0352177889251073,0.0,0.23613185341620047,0.006305857159858945,1.9999900590122022,7.058451067392244e-09,0.00696797193586182,1.9999878579148604,6.435372820324857e-12,2047,200
v32.26,25042000,dephasing,43,20,0.6587625915442124,0.2696191718671289,0.0,0.22876906685772308,0.00598019711358125,1.99999105928967,6.14668692512409e-09,0.00875840034381341,1.999980809320384,1.1606386299919652e-11,2047,200
v32.26,25042000,dephasing,44,19,1.0687765868124621,0.16042997148236837,0.0,0.2628818132876211,0.00612448916090168,1.999990622634812,1.2479450948715638e-08,0.0043865134904077984,1.9999951868902632,6.8826710290483604e-12,2047,200
v32.26,25042000,dephasing,45,18,1.0741101228597905,0.27458361993802693,0.0,0.22721615714532964,0.005576017245017356,1.9999922269927468,1.4346642252803502e-08,0.006277715170198921,1.9999901471683268,1.2841007643296848e-11,2047,200
v32.26,25042000,dephasing,46,17,1.0881648225246672,0.09037848316616821,0.0,0.18405909458904454,0.005061728914248898,1.9999935947145364,1.2284992032124573e-08,0.005303070752889032,1.999992969346108,1.045513938107013e-11,2047,200
v32.26,25042000,dephasing,47,16,1.0939615772545648,0.18996785185195264,0.0,0.15149477636685496,0.005539335204183907,1.9999923289265336,1.2031285457397385e-08,0.0055597297516764566,1.9999922699261803,6.5554108213784586e-12,2047,200
