version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,12,4096,25042000,dephasing,0,31,2.476977540430809,0.16253395492357603,0.8964028324900198,0.0873522011708554,0.9837550336608752,0.9918442587729563,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,1,30,2.413561816798306,0.6685739941937735,0.9241700278718084,0.06871531849336204,0.9928853463651703,0.9964363232867268,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,2,29,2.3115504172125045,-0.1785187383859535,0.8927069145449775,-0.08895710562322001,0.8037498089217574,0.8965209472855374,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,dephasing,3,28,2.289790063186614,-0.3285152421037397,0.9160638077898238,-0.07112519054140343,0.8449386172484203,0.9192054271208479,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,dephasing,4,27,1.707433125413384,-0.10337845353845698,0.24595024857845327,0.6106751116663983,0.8566253602448515,0.9255405773086621,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,dephasing,5,26,1.6758121312736467,0.2180744283183342,0.22209903748672205,0.6071195482007761,0.8292185856874981,0.9106144001098918,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,6,25,1.3401428591830666,-0.385574697487225,0.19744276207178818,-0.0735167840168293,0.12392597805495886,0.35203121744379273,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,7,24,1.3190784766253594,0.04445312717931879,0.16416366412011796,0.1258148711803446,0.2899785353004626,0.5384965508714634,31.0,5.551115123125783e-17,32,16
v32.22,12,4096,25042000,dephasing,8,23,1.189027063012583,-0.1299444156003519,0.7754580915422651,0.03619125167006088,0.811649343212326,0.9009158358094977,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,dephasing,9,22,1.1291561249852564,0.029018498754370348,0.7533405416351535,0.026122062384925357,0.7794626040200789,0.8828717936484769,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,10,21,1.0998218173216845,0.0859958266588742,0.851439018154694,-0.03814106683548728,0.8132979513192069,0.9018303339981456,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,dephasing,11,20,1.0684744539078679,-0.022586252100422644,0.8576387089884367,-0.02136195837244735,0.8362767506159894,0.9144816841336896,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,dephasing,12,19,0.48624138184678023,0.04071841447729055,0.15449196649556368,0.08716239712308531,0.241654363618649,0.491583526594056,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,13,18,0.4052000652493029,0.11069679504181026,0.21681820656973744,0.0937425117366214,0.31056071830635884,0.5572797486957146,31.0,5.551115123125783e-17,32,16
v32.22,12,4096,25042000,dephasing,14,17,0.16718354188358037,-0.10802760730895469,0.18930492319794578,-0.07590598016654347,0.11339894303140231,0.3367475954352196,31.0,0.0,32,16
v32.22,12,4096,25042000,dephasing,15,16,0.09983505484804485,-0.007448714860775779,0.2862116144227287,0.3052424774883235,0.5914540919110521,0.7690605255186695,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,transverse,0,31,2.476977540430809,0.16253395492357603,0.30053583066241635,0.47487980617052017,0.7754156368329366,0.8805768772985902,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,transverse,1,30,2.413561816798306,0.6685739941937735,0.3720849570879326,0.5587767957161949,0.9308617528041274,0.9648117706600223,31.0,1.1102230246251565e-16,32,16
v32.22,12,4096,25042000,transverse,2,29,2.3115504172125045,-0.1785187383859535,0.33797124884732344,-0.11695244498392712,0.22101880386339628,0.47012637009999375,31.0,2.7755575615628914e-17,32,16
v32.22,12,4096,25042000,transverse,3,28,2.289790063186614,-0.3285152421037397,0.24868385994112896,-0.17238411221035932,0.07629974773076967,0.27622408970031864,31.0,1.3877787807814457e-17,32,16
v32.22,12,4096,25042000,transverse,4,27,1.707433125413384,-0.10337845353845698,0.1760073021236514,0.21762356580855938,0.3936308679322108,0.6274000860154634,31.0,0.0,32,16
v32.22,12,4096,25042000,transverse,5,26,1.6758121312736467,0.2180744283183342,0.16769466067156494,0.250901861417678,0.4185965220892429,0.6469903570295641,31.0,0.0,32,16
v32.22,12,4096,25042000,transverse,6,25,1.3401428591830666,-0.385574697487225,0.29646148633268066,0.2654593961775787,0.5619208825102593,0.7496138222513371,31.0,0.0,32,16
v32.22,12,4096,25042000,transverse,7,24,1.3190784766253594,0.04445312717931879,0.2550658055076598,-0.01816974562418888,0.23689605988347093,0.486719693338446,31.0,2.7755575615628914e-17,32,16
v32.22,12,4096,25042000,transverse,8,23,1.189027063012583,-0.1299444156003519,0.2778363812605135,-0.17992306971382507,0.09791331154668845,0.3129110281640589,31.0,2.7755575615628914e-17,32,16
v32.22,12,4096,25042000,transverse,9,22,1.1291561249852564,0.029018498754370348,0.31429745388863506,-0.09970400369521737,0.2145934501934177,0.46324232340473565,31.0,2.7755575615628914e-17,32,16
v32.22,12,4096,25042000,transverse,10,21,1.0998218173216845,0.0859958266588742,0.18278389366916103,0.07484294756879248,0.25762684123795354,0.507569543252896,31.0,5.551115123125783e-17,32,16
v32.22,12,4096,25042000,transverse,11,20,1.0684744539078679,-0.022586252100422644,0.29444786006010526,0.13160222524270315,0.42605008530280836,0.6527251223162843,31.0,5.551115123125783e-17,32,16
v32.22,12,4096,25042000,transverse,12,19,0.48624138184678023,0.04071841447729055,0.4361677774296779,0.04376862724413208,0.47993640467380994,0.692774425533889,31.0,5.551115123125783e-17,32,16
v32.22,12,4096,25042000,transverse,13,18,0.4052000652493029,0.11069679504181026,0.31920270283312313,-0.1185220754689808,0.20068062736414233,0.44797391370942835,31.0,2.7755575615628914e-17,32,16
