version,family,metric,n_qubit_levels,median_of_q_medians,min_q_median,max_q_median,positive_q_levels
v32.22,dephasing,S_group,1,0.19171554252199413,0.19171554252199413,0.19171554252199413,1
v32.22,dephasing,A_group,1,0.46897759103641457,0.46897759103641457,0.46897759103641457,1
v32.22,dephasing,C2_group,1,0.38207282913165264,0.38207282913165264,0.38207282913165264,1
v32.22,dephasing,C_group,1,0.38207282913165264,0.38207282913165264,0.38207282913165264,1
v32.22,transverse,S_group,1,0.12941176470588234,0.12941176470588234,0.12941176470588234,1
v32.22,transverse,A_group,1,0.38823529411764707,0.38823529411764707,0.38823529411764707,1
v32.22,transverse,C2_group,1,0.42492021735380364,0.42492021735380364,0.42492021735380364,1
v32.22,transverse,C_group,1,0.42492021735380364,0.42492021735380364,0.42492021735380364,1
