version,seed,family,delta,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,R2_E,D2_E,D2_E_signed_pairmean,R2_3point,D2_3point,R2_3v5_rel_diff,D2_3v5_rel_diff
v32.18,25042000,transverse,0.01,0,63,2.874552422746733,0.18871847023623955,4,4,0.8672911957584107,0.9790091153958035,23.31721889263216,75.9574497769135,75.9574497769135,15.34276337802503,49.992411570001224,0.34199856986919314,0.34183662409903726
v32.18,25042000,transverse,0.01,1,62,2.87344508633917,-0.31508147386664376,4,4,0.5780328038571096,0.8204843482512657,23.259487925826967,63.422718209277626,63.422718209277626,26.747181839096513,73.01687847992011,0.1499471494983716,0.15127324311431084
v32.18,25042000,transverse,0.01,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8182574156423933,0.955666486085111,29.17467670411069,91.33748018256321,91.33748018256321,21.754894332729513,68.11797572390032,0.2543226938427645,0.2542166086939589
v32.18,25042000,transverse,0.01,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.5033507921872238,0.7714393643525351,28.23189095352477,71.23889550238701,71.23889550238701,31.542248608801714,79.69276854217888,0.11725596633702091,0.11866934460695854
v32.18,25042000,transverse,0.01,4,59,1.9787294107422513,0.09163904430626355,4,4,0.5531377953749617,0.972941911995407,4802.011979628018,79474.09263400096,79474.09263400096,4960.426510530602,83666.29820412512,0.0329891994386186,0.05274933542721109
v32.18,25042000,transverse,0.01,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.33149252853540156,0.21379905642678876,4849.487765259952,17787.35155543616,-17787.35155543616,4698.087439176796,16390.680274040766,0.031219859377259466,0.07852047434057394
v32.18,25042000,transverse,0.01,6,57,1.966744402461953,0.46365890923314146,4,4,0.4823727247697548,0.874104469432512,2543.177583226247,29225.663055896377,29225.663055896377,2590.158067508096,30151.931726843344,0.018473143437451194,0.03169367515034323
v32.18,25042000,transverse,0.01,7,56,1.9644309918628977,-0.4975409645034512,4,4,-0.2601503178590552,0.13023112704946424,2351.3910641800094,4055.298092661944,-4055.298092661944,2297.7379596549063,3745.2841175408234,0.022817601607163264,0.07644665522420911
v32.18,25042000,transverse,0.01,8,55,1.6921458564839147,0.023834044377988334,4,4,0.17556353403560576,0.7184266361374598,3012.043940618365,50293.12529158173,50293.12529158173,3083.7702399440277,52058.516615389366,0.023813164993515157,0.035102040558675184
v32.18,25042000,transverse,0.01,9,54,1.6886100349699211,0.01571539170803185,4,4,-0.21477583449185783,0.37484679025898093,3215.047272648344,28051.033687215073,-28051.033687215073,3153.265181270416,27089.270515132033,0.01921654213408682,0.034286193614368875
v32.18,25042000,transverse,0.01,10,53,1.6764420039565993,0.46343244789583143,4,4,0.22659477557132662,0.7320037978015923,3041.204388371755,48064.83307946165,48064.83307946165,3137.1363673657197,50198.89478315995,0.03154407489373841,0.04439964870303893
v32.18,25042000,transverse,0.01,11,52,1.6720595812293473,-0.2931208456369997,4,4,-0.24859368712920626,0.19601498046578628,3066.1713142838903,12951.233454814115,-12951.233454814115,2990.0946405212335,12267.920495107268,0.024811618779502102,0.052760454213946116
v32.18,25042000,transverse,0.01,12,51,1.4639107662982664,-0.1691666279032112,4,4,-0.12717926536755628,0.4326472172133027,591.8901451239916,6094.761274288027,-6094.761274288027,587.0636100499141,6029.07256295353,0.008154444053239621,0.01077789734138044
v32.18,25042000,transverse,0.01,13,50,1.4584129115423414,0.22512599499772068,4,4,0.0045208160943479014,0.5470515398233062,767.5577960713463,9936.398886933095,9936.398886933095,770.0815512942927,9997.95690135322,0.003288032817677004,0.006195203626645568
v32.18,25042000,transverse,0.01,14,49,1.4334527954745644,0.29063541288859407,4,4,-0.07642780377450004,0.4913951099263314,413.5820989569057,4514.369045311831,-4514.369045311831,412.9252943544999,4499.734929013339,0.0015880875987194626,0.0032416747836974714
v32.18,25042000,transverse,0.01,15,48,1.4275616977982164,0.00545299082877565,4,4,-0.004850690044888067,0.5755490387760599,558.1472341861893,7326.030074259998,7326.030074259998,560.1124752078473,7367.949904843164,0.0035210082596278574,0.005722039106889733
v32.18,25042000,transverse,0.01,16,47,1.0939615772545648,-0.12727287836418105,4,4,0.13852960937492143,0.46605450637370777,72.98360264349068,198.01756397874516,198.01756397874516,73.80935221985897,200.38674967828075,0.011314179438385518,0.011964523004585068
v32.18,25042000,transverse,0.01,17,46,1.0881648225246672,-0.0019399843253508076,4,4,0.021638338014501116,0.3078642673369377,103.87821229420496,201.11341018794297,201.11341018794297,103.20340755274836,200.4745298232313,0.006496114310721948,0.0031767168788726014
v32.18,25042000,transverse,0.01,18,45,1.0741101228597905,-0.025214000864455688,4,4,0.009107254127100528,0.27794328431735327,37.539297827196705,45.500565152899554,45.500565152899554,37.53940622470216,45.54799566216016,2.88757413513631e-06,0.0010424158271709902
v32.18,25042000,transverse,0.01,19,44,1.0687765868124621,-0.2796673059394926,4,4,0.0012154968012116402,0.26966890131456306,42.480968147157625,57.41256637215443,57.41256637215443,42.23429221772581,57.23214029766721,0.00580673982234375,0.003142623399164586
v32.18,25042000,transverse,0.01,20,43,0.6587625915442124,0.271925888444691,4,4,0.06286883583116017,0.9038091058286507,2593.1839323111835,179161.74819209508,179161.74819209508,2704.84691381637,188317.48714428386,0.0430601856327509,0.051103201685507714
v32.18,25042000,transverse,0.01,21,42,0.6523641195267388,0.34473424651455187,4,4,-0.07489227827167572,0.8193869773359052,21561.911380145186,1435615.2815664283,-1435615.2815664283,21925.344213698758,1432856.1171820443,0.0168553161705428,0.001921938572131499
v32.18,25042000,transverse,0.01,22,41,0.6353883011550365,0.6326899225480247,4,4,-0.07920900500567235,0.8325984188275818,28545.803700150966,2141185.577144283,-2141185.577144283,28718.28711330253,2111428.9444550183,0.006042338655563984,0.013897269347830782
v32.18,25042000,transverse,0.01,23,40,0.6293356210701317,0.16502413161883028,4,4,0.08410533546535165,0.92251511583467,5666.757210663523,465831.66783768334,465831.66783768334,5834.923381683654,482188.03026445355,0.029675908949068942,0.03511217368002018
v32.18,25042000,transverse,0.01,24,39,0.2843715887463743,-0.5475178260577758,4,4,-0.05163286814411448,0.1294799438067426,87.00456829031751,92.71609350783436,92.71609350783436,87.62155247430678,93.70596630395022,0.007091399866849709,0.010676385928967323
v32.18,25042000,transverse,0.01,25,38,0.2812054412565679,-0.46029967445888076,4,4,-0.06894238490630508,0.061417598743775996,16.50605629071511,9.226498582692358,-9.226498582692358,16.45089230329608,9.186549616549204,0.003342045274016343,0.004329807866452455
v32.18,25042000,transverse,0.01,26,37,0.26482062964046393,-0.585737424372401,4,4,-0.0648909508960914,0.114680150612476,17.086499096930922,17.28676099601534,17.28676099601534,17.14840602759645,17.36775974736593,0.0036231489150781527,0.004685594448217463
v32.18,25042000,transverse,0.01,27,36,0.2619864687735263,-0.751304197451854,4,4,-0.06061207223601379,0.10208594695477025,35.64445782581539,30.214383730237593,30.214383730237593,35.47381905956127,30.138052406770004,0.004787245385747741,0.0025263240233226554
