version,seed,family,group,lambda,exact_norm,k2_term_norm,k3_term_norm,k4_term_norm,abs_err_K2,abs_err_K2K3,abs_err_K2K3K4,rel_err_K2,rel_err_K2K3,rel_err_K2K3K4
v32.24,25042000,dephasing,10,0.001,3.1754406011817114e-06,3.1752730169244986e-06,4.592156159793093e-10,1.6759542431261323e-10,4.888490823254943e-10,1.6760579657073705e-10,1.081045718268958e-14,0.00015394685138924455,5.278190261482582e-05,3.404395969071683e-09
v32.24,25042000,dephasing,10,0.0003,2.8577592887927886e-07,2.8577457152320485e-07,1.2398821631441347e-11,1.3575229369321665e-12,1.2472924548902979e-11,1.357530497951551e-12,1.0578074516456588e-17,4.3645819288621584e-05,4.750331853614643e-06,3.701527472219367e-11
v32.24,25042000,dephasing,11,0.01,0.00018943900518508732,0.000191075284663177,7.512181574680141e-07,1.6477047517789795e-06,1.801734771582216e-06,1.6378126731288434e-06,9.898672613065845e-09,0.009510896501076269,0.008645593717770286,5.225255803784738e-05
v32.24,25042000,dephasing,11,0.003,1.7183448797036333e-05,1.7196775619685932e-05,2.0282890251636378e-08,1.3346408489409734e-08,2.427544289323607e-08,1.3339160632711466e-08,7.290579098143724e-12,0.0014127223923420373,0.0007762795926631504,4.2427915282065764e-07
v32.24,25042000,dephasing,11,0.001,1.910588238335815e-06,1.91075284663177e-06,7.512181574680141e-10,1.6477047517789797e-10,7.69070830519766e-10,1.647605285604649e-10,1.0451419293841444e-14,0.0004025309143479559,8.623549818561467e-05,5.470262552723015e-09
v32.24,25042000,dephasing,11,0.0003,1.719664227962647e-07,1.7196775619685928e-07,2.0282890251636373e-11,1.3346408489409727e-12,2.0326745150863447e-11,1.3346335974344505e-12,1.0641357252222074e-17,0.00011820182580029203,7.76101273569924e-06,6.188043618741377e-11
v32.24,25042000,dephasing,12,0.01,0.0003080796805905664,0.00030673797250910137,6.109025978428001e-07,1.3346829734568852e-06,1.4767918799897619e-06,1.3420474048418587e-06,9.137923507356638e-09,0.004793538727250233,0.004356169813826252,2.9660909443426783e-05
v32.24,25042000,dephasing,12,0.003,2.7617231144919892e-05,2.760641752581912e-05,1.64943701417556e-08,1.081093208500077e-08,1.9735428452433234e-08,1.081627465389568e-08,1.4116159635708668e-11,0.000714605615199897,0.00039164949582157156,5.111359484821235e-07
v32.24,25042000,dephasing,12,0.001,3.0675131680292677e-06,3.0673797250910134e-06,6.109025978428001e-10,1.3346829734568855e-10,6.253666022015993e-10,1.3347562284070337e-10,5.423819809938714e-14,0.0002038676178213011,4.351264869270476e-05,1.7681488270263115e-08
v32.24,25042000,dephasing,12,0.0003,2.760652560920866e-07,2.7606417525819116e-07,1.6494370141755594e-11,1.0810932085000765e-12,1.652989195819026e-11,1.081098548534031e-12,1.30692428172355e-16,5.987675592424572e-05,3.916097823528401e-06,4.734113594097482e-10
v32.24,25042000,dephasing,13,0.01,0.00016936822115883193,0.00017083425418460316,3.007977897977964e-07,1.474308249063808e-06,1.495784091345427e-06,1.466478153530679e-06,9.93915988326513e-09,0.00883155104960744,0.008658520137348727,5.8683735444940875e-05
v32.24,25042000,dephasing,13,0.003,1.5363150318490208e-05,1.5375082876614284e-05,8.121540324540502e-09,1.1941896817416844e-08,1.4428749274813926e-08,1.1936160464162691e-08,1.6002590269250196e-11,0.0009391790730217818,0.0007769344318526268,1.0416216685708267e-06
v32.24,25042000,dephasing,13,0.001,1.7081951633632788e-06,1.7083425418460316e-06,3.007977897977964e-10,1.4743082490638082e-10,3.3492662597794287e-10,1.4742295268923118e-10,6.200257201773639e-14,0.00019607046850460765,8.630334276264368e-05,3.629712420895692e-08
v32.24,25042000,dephasing,13,0.0003,1.5374963494240362e-07,1.5375082876614283e-07,8.1215403245405e-12,1.194189681741684e-12,8.208718856012644e-12,1.194183942574096e-12,1.495634897579513e-16,5.339016810731111e-05,7.767068474806143e-06,9.727729748040019e-10
v32.24,25042000,dephasing,14,0.01,0.00032239411417201396,0.0003211423181357789,1.0567725417720912e-07,1.2471369151680827e-06,1.2580174240652808e-06,1.253360745642643e-06,6.7068924986846684e-09,0.0039021103945900927,0.003887666339261734,2.0803396227966477e-05
v32.24,25042000,dephasing,14,0.003,2.8912902399672497e-05,2.89028086322201e-05,2.853285862784646e-09,1.0101809012861471e-08,1.0503016129897204e-08,1.0106326575370717e-08,7.516299807876215e-12,0.0003632639845253368,0.00034954382772326564,2.599635174627558e-07
v32.24,25042000,dephasing,14,0.001,3.2115477463169215e-06,3.2114231813577884e-06,1.0567725417720911e-10,1.247136915168083e-10,1.6348685383406157e-10,1.2471988609476926e-10,2.546221978992119e-14,5.090593905121048e-05,3.8834822318242336e-05,7.928332941374408e-09
v32.24,25042000,dephasing,14,0.0003,2.890290952528236e-07,2.8902808632220094e-07,2.8532858627846453e-12,1.0101809012861467e-12,3.0268890302954835e-12,1.0101854169591283e-12,6.017726824223784e-17,1.047261012822173e-05,3.4950993984722704e-06,2.0820488051418745e-10
v32.24,25042000,dephasing,15,0.01,0.00019104937448802617,0.0001924279006160242,8.470886303175299e-08,1.3859423916016385e-06,1.3816329259999922e-06,1.378912652091164e-06,7.307881968760533e-09,0.007231810780341417,0.007217572189316883,3.825127398791116e-05
v32.24,25042000,dephasing,15,0.003,1.730729321309363e-05,1.731851105544218e-05,2.28713930185733e-09,1.1226133371973273e-08,1.1452668896054035e-08,1.1220985767722215e-08,7.0752716220809924e-12,0.0006617250170228614,0.0006483385720439006,4.088028980018828e-07
v32.24,25042000,dephasing,15,0.001,1.9241404578065016e-06,1.924279006160242e-06,8.470886303175298e-11,1.385942391601639e-10,1.6243573237952696e-10,1.3858717519737373e-10,2.11881132779448e-14,8.441989342332205e-05,7.202549826085022e-05,1.1011728999295099e-08
v32.24,25042000,dephasing,15,0.0003,1.7318398826070092e-07,1.7318511055442174e-07,2.2871393018573297e-12,1.1226133371973267e-12,2.5478376104998434e-12,1.1226081873463881e-12,4.881395288309989e-17,1.471173886274336e-05,6.482170774682012e-06,2.818618128231246e-10
