seed,family,candidate,pearson,spearman,n_pairs
25042000,dephasing,real_sigma,0.2520173888452619,0.27089442815249265,32
25042000,dephasing,real_sigma_over_gap,0.17676616374143847,0.1785190615835777,32
25042000,dephasing,delta_sigma,0.29744517969705675,0.2969208211143695,32
25042000,dephasing,delta_sigma_over_gap,0.18763313441169172,0.24046920821114368,32
25042000,dephasing,local_real_sigma,0.40171079530392195,0.30608504398826974,32
25042000,dephasing,local_delta_sigma,0.16784192984067212,0.10777126099706744,32
25042000,dephasing,real_pvq2,-0.10379456293826787,-0.12170087976539588,32
25042000,dephasing,real_pvq2_over_gap,-0.09683819348804396,-0.19574780058651026,32
25042000,dephasing,real_gap,0.2577929516166211,0.19930327705998882,32
25042000,transverse,real_sigma,0.40799739067189916,0.7181085043988269,32
25042000,transverse,real_sigma_over_gap,0.26405156056917645,0.7287390029325512,32
25042000,transverse,delta_sigma,0.4650365506516885,0.5384897360703812,32
25042000,transverse,delta_sigma_over_gap,0.19961577260727176,0.2925219941348973,32
25042000,transverse,local_real_sigma,0.5139418939346119,0.5102639296187682,32
25042000,transverse,local_delta_sigma,0.5053387322916916,0.4017595307917888,32
25042000,transverse,real_pvq2,-0.06886904705858866,-0.03079178885630498,32
25042000,transverse,real_pvq2_over_gap,-0.11030290208766264,-0.2067448680351906,32
25042000,transverse,real_gap,0.2577929516166211,0.19930327705998882,32
25042001,dephasing,real_sigma,0.12641416838016953,0.10882352941176471,16
25042001,dephasing,real_sigma_over_gap,0.13561325649258044,-0.2441176470588235,16
25042001,dephasing,delta_sigma,0.5982406010299967,0.6411764705882352,16
25042001,dephasing,delta_sigma_over_gap,0.048485052590054215,0.3970588235294118,16
25042001,dephasing,local_real_sigma,-0.0832684507918555,-0.06764705882352941,16
25042001,dephasing,local_delta_sigma,0.5492878933080311,0.4794117647058824,16
25042001,dephasing,real_pvq2,0.32167491158034844,0.38823529411764707,16
25042001,dephasing,real_pvq2_over_gap,-0.2158757345675981,-0.3911764705882353,16
25042001,dephasing,real_gap,0.4392962263614149,0.3735294117647059,16
25042001,transverse,real_sigma,0.2159602492126189,0.3588235294117647,16
25042001,transverse,real_sigma_over_gap,0.17796532552591826,-0.32647058823529407,16
25042001,transverse,delta_sigma,0.6217993000564612,0.5852941176470587,16
25042001,transverse,delta_sigma_over_gap,0.00251240432308507,0.29705882352941176,16
25042001,transverse,local_real_sigma,0.11964922828637926,0.2441176470588235,16
25042001,transverse,local_delta_sigma,0.4206601978415233,0.45294117647058824,16
25042001,transverse,real_pvq2,-0.11382482293952735,-0.25588235294117645,16
25042001,transverse,real_pvq2_over_gap,-0.22220343030696338,-0.411764705882353,16
25042001,transverse,real_gap,0.4392962263614149,0.3735294117647059,16
25042002,dephasing,real_sigma,0.3937719702287318,0.3416422287390029,32
25042002,dephasing,real_sigma_over_gap,0.25241500459986094,0.499266862170088,32
25042002,dephasing,delta_sigma,0.30112744872485836,0.3343108504398827,32
25042002,dephasing,delta_sigma_over_gap,-0.19294503135123142,-0.4336510263929618,32
25042002,dephasing,local_real_sigma,0.46252293247249915,0.4237536656891495,32
25042002,dephasing,local_delta_sigma,0.19438005908924283,0.15579178885630496,32
25042002,dephasing,real_pvq2,-0.1776472563162139,-0.15249266862170086,32
25042002,dephasing,real_pvq2_over_gap,0.27291503829860747,0.3057184750733138,32
25042002,dephasing,real_gap,-0.27942497637675257,-0.31619466726145357,32
25042002,transverse,real_sigma,0.09765820111211951,0.16129032258064516,32
25042002,transverse,real_sigma_over_gap,0.28592873655835754,0.49816715542521983,32
25042002,transverse,delta_sigma,0.23404420273295165,0.1755865102639296,32
25042002,transverse,delta_sigma_over_gap,-0.1957100570845278,-0.3962609970674486,32
25042002,transverse,local_real_sigma,0.23654629137212002,0.19024926686217006,32
25042002,transverse,local_delta_sigma,0.11393936640155262,0.08724340175953077,32
25042002,transverse,real_pvq2,0.338104231300961,0.2921554252199413,32
25042002,transverse,real_pvq2_over_gap,0.27390183183295147,0.2848240469208211,32
25042002,transverse,real_gap,-0.27942497637675257,-0.31619466726145357,32
25042003,dephasing,real_sigma,0.4966309852681387,0.4758064516129032,32
25042003,dephasing,real_sigma_over_gap,0.09279254041464495,0.2877565982404692,32
25042003,dephasing,delta_sigma,0.22118998660119982,0.26466275659824046,32
25042003,dephasing,delta_sigma_over_gap,-0.11876729996841207,0.0846774193548387,32
25042003,dephasing,local_real_sigma,0.42932627519693156,0.3863636363636363,32
25042003,dephasing,local_delta_sigma,0.1415433781555516,0.1543255131964809,32
25042003,dephasing,real_pvq2,0.11670686640431098,0.18951612903225803,32
25042003,dephasing,real_pvq2_over_gap,-0.24767169882106652,-0.12133431085043987,32
25042003,dephasing,real_gap,0.12765273572712343,0.14610449374735032,32
25042003,transverse,real_sigma,0.5707077847927268,0.4325513196480938,32
25042003,transverse,real_sigma_over_gap,0.37919577699788626,0.16678885630498533,32
