version,seed,family,group,lambda,leading_norm,exact_norm,abs_error,rel_error
v32.23,25042000,dephasing,6,0.003,1.955411693838276e-05,1.9563504050005618e-05,1.0050515782860167e-08,0.0005139846414200386
v32.23,25042000,dephasing,6,0.001,2.1726796598203065e-06,2.1727955078985597e-06,1.7454463077446157e-10,8.033610936869426e-05
v32.23,25042000,dephasing,6,0.0003,1.9554116938382757e-07,1.955421077143885e-07,3.6404660120898536e-12,1.861738898034299e-05
v32.23,25042000,dephasing,7,0.01,0.0001249462374434897,0.00012376952783815095,1.183595215857285e-06,0.009472835997903481
v32.23,25042000,dephasing,7,0.003,1.124516136991407e-05,1.1235590101449652e-05,1.0052338590961639e-08,0.0008939256859271245
v32.23,25042000,dephasing,7,0.001,1.2494623744348967e-06,1.2493441673642166e-06,1.631901701406661e-10,0.00013060831080605631
v32.23,25042000,dephasing,7,0.0003,1.124516136991407e-07,1.1245065618201527e-07,3.1812608351498016e-12,2.829004164992353e-05
v32.23,25042000,dephasing,8,0.01,0.00036067441032142566,0.0003629631356734426,2.2926481049097264e-06,0.006356558822308922
v32.23,25042000,dephasing,8,0.003,3.246069692892831e-05,3.2479119407545096e-05,1.862464681076823e-08,0.0005737599180802038
v32.23,25042000,dephasing,8,0.001,3.6067441032142567e-06,3.6069714158339972e-06,2.4755124261026834e-10,6.86356546309054e-05
v32.23,25042000,dephasing,8,0.0003,3.24606969289283e-07,3.2460881040602383e-07,3.2157295512374204e-12,9.906532685598715e-06
v32.23,25042000,dephasing,9,0.01,0.00023337666526391314,0.00023108963050393657,2.2934488780581768e-06,0.009827241620170717
v32.23,25042000,dephasing,9,0.003,2.100389987375218e-05,2.0985260140067138e-05,1.9133838292851966e-08,0.0009109659828821998
v32.23,25042000,dephasing,9,0.001,2.333766652639131e-06,2.333536407209301e-06,2.797860630329743e-10,0.00011988604889721056
v32.23,25042000,dephasing,9,0.0003,2.100389987375218e-07,2.100371336340586e-07,4.676607199734012e-12,2.2265423220657228e-05
v32.23,25042000,dephasing,10,0.01,0.00031752730169244117,0.0003192134654394324,1.7478642568475786e-06,0.005504610934339657
v32.23,25042000,dephasing,10,0.003,2.8577457152319707e-05,2.859103819787362e-05,1.8391328304792694e-08,0.0006435606991470836
v32.23,25042000,dephasing,10,0.001,3.1752730169244114e-06,3.1754406011817114e-06,4.888490822942356e-10,0.0001539549763716815
v32.23,25042000,dephasing,10,0.0003,2.85774571523197e-07,2.8577592887927886e-07,1.2472924543907456e-11,4.364602657761311e-05
v32.23,25042000,dephasing,11,0.01,0.00019107528466317126,0.00018943900518508732,1.8017347715778093e-06,0.009429449626381136
v32.23,25042000,dephasing,11,0.003,1.719677561968541e-05,1.7183448797036333e-05,2.427544289310858e-08,0.0014116275882160207
v32.23,25042000,dephasing,11,0.001,1.910752846631712e-06,1.910588238335815e-06,7.690708305282024e-10,0.00040249623695912617
v32.23,25042000,dephasing,11,0.0003,1.7196775619685407e-07,1.719664227962647e-07,2.0326745152435458e-11,0.00011820090929817755
v32.23,25042000,dephasing,12,0.01,0.0003067379725091059,0.0003080796805905664,1.4767918799829481e-06,0.004814506231174582
v32.23,25042000,dephasing,12,0.003,2.760641752581953e-05,2.7617231144919892e-05,1.9735428451734488e-08,0.0007148855309920774
v32.23,25042000,dephasing,12,0.001,3.067379725091059e-06,3.0675131680292677e-06,6.253666021304917e-10,0.00020387648683174592
v32.23,25042000,dephasing,12,0.0003,2.760641752581953e-07,2.760652560920866e-07,1.6529891952278437e-11,5.987699032958e-05
v32.23,25042000,dephasing,13,0.01,0.00017083425418460308,0.00016936822115883193,1.4957840913462882e-06,0.008755762118585114
v32.23,25042000,dephasing,13,0.003,1.5375082876614274e-05,1.5363150318490208e-05,1.4428749275060937e-08,0.0009384501788284521
v32.23,25042000,dephasing,13,0.001,1.7083425418460306e-06,1.7081951633632788e-06,3.349266260230715e-10,0.00019605355355791274
v32.23,25042000,dephasing,13,0.0003,1.5375082876614273e-07,1.5374963494240362e-07,8.208718860526667e-12,5.338975357987988e-05
v32.23,25042000,dephasing,14,0.01,0.0003211423181357813,0.00032239411417201396,1.2580174240627833e-06,0.003917320617742083
v32.23,25042000,dephasing,14,0.003,2.890280863222032e-05,2.8912902399672497e-05,1.050301612964818e-08,0.00036339084769566686
v32.23,25042000,dephasing,14,0.001,3.2114231813578125e-06,3.2115477463169215e-06,1.6348685380389626e-10,5.090791358576818e-05
v32.23,25042000,dephasing,14,0.0003,2.890280863222031e-07,2.890290952528236e-07,3.026889027988415e-12,1.0472646677714552e-05
v32.23,25042000,dephasing,15,0.01,0.00019242790061601965,0.00019104937448802617,1.381632925995288e-06,0.007180003115828136
v32.23,25042000,dephasing,15,0.003,1.7318511055441766e-05,1.730729321309363e-05,1.1452668895571692e-08,0.0006612963931430509
v32.23,25042000,dephasing,15,0.001,1.924279006160196e-06,1.9241404578065016e-06,1.6243573231499568e-10,8.441381514582346e-05
v32.23,25042000,dephasing,15,0.0003,1.7318511055441763e-07,1.7318398826070092e-07,2.547837604575026e-12,1.4711643491860424e-05
