version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,mean_cosine,positive_fraction,mode_excess,weighted_mode_fraction,n_channels_mean,gram_trace_mean
v32.20,25042000,dephasing,0,63,2.874552422746733,0.18871847023623955,4,4,0.8416954218508284,0.9930919606402442,0.9384377777446784,1.0,0.9445398048604206,0.9960692934639712,63.0,0.11018998822402833
v32.20,25042000,dephasing,1,62,2.87344508633917,-0.31508147386664376,4,4,0.07353167773155234,0.46592730311541275,0.8763281663474609,0.9682539682539683,0.943476950155738,0.9972392544958872,63.0,0.10951123129295977
v32.20,25042000,dephasing,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8386112407538827,0.9927636550313537,0.8199515604648745,0.937532002048131,0.945856163656273,0.9963232423733223,63.0,0.11541207147598768
v32.20,25042000,dephasing,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.053124955683378994,0.4473246726530491,0.7634300346045253,0.9078341013824884,0.9471763124712715,0.997209702859398,63.0,0.11536385239978039
v32.20,25042000,dephasing,4,59,1.9787294107422513,0.09163904430626355,4,4,0.3051791821846072,0.8792930104737413,0.6667391720693505,0.8791602662570405,0.9002273056662735,0.9995757218867041,63.0,2.2406439043394064
v32.20,25042000,dephasing,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.25579241329807423,0.4599545703425326,0.6244857355485818,0.851510496671787,0.8968790648603538,0.9996243623465924,63.0,2.238512240453561
v32.20,25042000,dephasing,6,57,1.966744402461953,0.46365890923314146,4,4,0.2878469037058871,0.8925080970567076,0.5743956816940301,0.8248847926267281,0.897140636461935,0.9996345193639502,63.0,3.01473486295459
v32.20,25042000,dephasing,7,56,1.9644309918628977,-0.4975409645034512,4,4,-0.24500348791085788,0.5126791804733881,0.5096002216038689,0.7992831541218638,0.8934437313179882,0.9996234103395973,63.0,3.0163715827610456
v32.20,25042000,dephasing,8,55,1.6921458564839147,0.023834044377988334,4,4,0.2736167910851271,0.935503172013923,0.4852294265153112,0.774705581157194,0.8965565737409487,0.9998803977029473,63.0,8.941521507017448
v32.20,25042000,dephasing,9,54,1.6886100349699211,0.01571539170803185,4,4,-0.23500850747983792,0.6047817136699849,0.4373119542943298,0.7511520737327189,0.8941417958189501,0.9998623401785718,63.0,8.945927657971739
v32.20,25042000,dephasing,10,53,1.6764420039565993,0.46343244789583143,4,4,0.290581137689651,0.9211141598911403,0.38889434399513545,0.7286226318484383,0.8886274146465999,0.9998269225910827,63.0,6.629310470662602
v32.20,25042000,dephasing,11,52,1.6720595812293473,-0.2931208456369997,4,4,-0.24974433622523162,0.5533666545961602,0.35553024107474573,0.7071172555043522,0.8912953943438905,0.999813848303069,63.0,6.628661129253446
v32.20,25042000,dephasing,12,51,1.4639107662982664,-0.1691666279032112,4,4,0.30348728390673096,0.8959432320646323,0.34650996044151205,0.6866359447004609,0.9158433253201013,0.9996636907327419,63.0,5.851566659675245
v32.20,25042000,dephasing,13,50,1.4584129115423414,0.22512599499772068,4,4,-0.24972114886439933,0.49833208291955633,0.31310103729739885,0.667178699436764,0.9143313526129253,0.99957948860284,63.0,5.85316010633607
