seed,family,g_minus,g_plus,E_abs,prominence,real_pvp,null_pvp,delta_pvp,real_pvq2,null_pvq2,delta_pvq2,real_sigma,null_sigma,delta_sigma,real_gap,null_gap,delta_gap,real_pvq2_over_gap,null_pvq2_over_gap,delta_pvq2_over_gap,real_sigma_over_gap,null_sigma_over_gap,delta_sigma_over_gap,real_pvq2_asym,null_pvq2_asym,real_sigma_asym,null_sigma_asym,local_real_pvq2,local_real_sigma,local_real_gap,local_delta_pvq2,local_delta_sigma,local_delta_gap,C_group,A_group,cross_sum,self_sum,term_l1,term_count
25042000,dephasing,7,8,0.6360775789343718,0.14497958354565876,0.2894459042395546,0.8887669167215554,-0.5993210124820008,13.867239554754395,13.298813265824474,0.5684262889299205,410.0844905626242,78.63349045704211,331.45100010558207,0.0006196734328248188,5.470212799951746e-07,0.0006191264115448236,22378.302538386622,24311327.09488338,-24288948.79234499,661775.1687259356,143748503.63725477,-143086728.46852884,2.540190280342358e-13,0.026857985508891957,2.3305801732931286e-11,21.98067173457686,8.845787221645196e-05,3.1270267618781418,5.551115123125783e-17,-0.42775557773922657,11.544766925175509,2.12649332698156e-07,0.9941923752476889,0.007448535467485694,1267.2920865505585,166901.997313461,412.48001973507695,7
25042000,dephasing,6,9,0.6366972523671979,-0.1436758182501663,0.2895986694602438,0.949921648465376,-0.6603229790051321,13.867151096882179,12.870969230213031,0.9961818666691471,406.95746380074604,87.05123062033947,319.90623318040656,0.0006196734328247633,7.596706126378194e-07,0.0006189137622121255,22378.159789212157,16942828.926238056,-16920450.766448844,656728.9192077225,114590757.06255075,-113934028.14334303,1.1546319456101628e-13,0.24576078610944485,3.296918293926865e-12,0.7598260383370246,0.21549336801643904,153.52402852785758,-0.0009334024274868236,0.5403935102465818,166.06976413143497,-0.0009297233113843006,0.986606059970094,-0.007569846687318117,-1287.9457269500417,166902.32307010418,412.4822259992044,7
25042000,dephasing,5,10,0.993293207637656,-0.24555689335744857,0.7175949994657365,0.9251265191466873,-0.20753151968095085,13.436075902977082,13.092925479061872,0.3431504239152101,96.78237998315274,120.56044199079163,-23.778062007638894,0.002486478287798355,8.330552150326298e-06,0.0024781477356480286,5403.6570393196625,1571675.59158117,-1566271.9345418504,38923.47681380658,14472082.980246324,-14433159.503432518,2.4868995751603507e-14,0.7283424374286991,1.4637180356658064e-12,0.2834578750473895,-0.22121025930919025,-155.46092998880223,0.000933402427486768,-0.23546948210794305,-175.80745524506187,0.0009291397144688407,0.9236986276317136,-0.005148941789981783,-56.52622471014183,9423.355299913572,104.777009608962,7
25042000,dephasing,4,11,0.9957796859254553,0.09792852837223864,0.7096458684055658,0.9206544474599367,-0.21100857905437098,13.447421227690368,13.286363282313209,0.16105794537715923,97.5291561431639,113.37660284872454,-15.847446705560642,0.0024864782877984104,7.376007652160066e-06,0.0024791022801462503,5408.219847999175,1801294.6717079792,-1795886.45185998,39223.81169453872,15370998.53950425,-15331774.727809712,3.907985046680551e-14,0.5180156212798188,1.1652900866465643e-12,11.813168639848271,0.3831903529773957,-62.04517900784714,0.0002608976749894909,0.210657480240255,-60.50150498734535,0.0002619880921956308,0.9325992081781767,0.008181237836993888,89.47420877548029,9422.46208922254,104.57778141768752,7
25042000,dephasing,3,12,1.0997673619744652,-0.2708137561698763,1.1218879800526018,0.9210585647975456,0.20082941525505627,12.692385846448861,13.134735340090263,-0.44234949364140164,222.36629031886932,109.28011174766101,113.08617857120831,0.001964682937819484,8.60229756627362e-06,0.0019560806402532105,6460.271834261251,1526886.8856137493,-1520426.613779488,113181.76894520393,12703595.859797657,-12590414.090852452,7.283063041541027e-14,0.09150770661067575,9.094947017729282e-12,4.920051064325705,-0.4001986880002111,58.60643390921854,-0.00026089767498951866,-0.31173746241073896,66.56878519620436,-0.00026408960436191675,0.9580803427814188,-0.03248843817565149,-1750.1000463098608,51196.86711648596,232.0956608642184,7
25042000,dephasing,2,13,1.101732044912286,0.3502934907892682,1.1014856535732265,0.9427407785553904,0.15874487501783607,12.737747841207776,13.16002984904626,-0.4222820078384846,229.99055667613766,121.10832322056912,108.88223345556854,0.001964682937819595,3.444728735590985e-06,0.001961238209084004,6483.3605443452,3820338.5111508635,-3813855.150606518,117062.4288779039,35157579.16415195,-35040516.73527405,2.1316282072803006e-14,0.13750788625604038,5.258016244624741e-12,1.8465761013156339,0.3415623591320145,114.88757705862943,0.0009612506659605891,0.2177201729728857,51.89583041837942,0.0009621879676534051,0.9916969288111732,0.03160458843676207,1699.8563091480974,51195.799851052725,231.91617317182607,7
25042000,dephasing,1,14,1.9933419518841151,0.505330681683999,1.3605268716687138,0.9241413176965811,0.43638555397213263,12.099985117702664,12.937639985684003,-0.8376548679813389,7.839668916147129,6.95304141297719,0.8866275031699393,4.218160589852804e-05,1.617632905404065e-07,4.2019842607987634e-05,286854.539080621,79978837.85908978,-79691983.32000916,185855.15532543298,42982813.89893219,-42796958.74360675,4.842348744205083e-12,0.358715711986779,7.140776858705067e-11,1.2790362518015002,-0.31867072364550886,-112.0195593163022,-0.0009612506659607556,-0.1599203109829075,-53.157529285715164,-0.0009595882285496349,0.7960855475963229,-0.16545879745065545,-16.045964545048435,77.50637326103241,9.84777193844717,7
25042000,dephasing,0,15,1.9933841334900149,0.38145080773765794,1.3606816838433917,0.8933304982499095,0.4673511855934822,12.099563841488568,13.032750947646946,-0.9331871061583783,9.727899788761025,10.521819666559349,-0.7939198777983236,4.218160589897213e-05,2.0367266773124726e-07,4.197793323124088e-05,286844.5518757124,63988708.41542708,-63701863.86355137,230619.47456576262,51660440.174737796,-51429820.70017204,9.57456336436735e-13,0.23329343851479578,9.14770481585947e-11,0.13295829560623318,-0.0004212762140962667,1.8882308726138959,4.440892098500626e-16,-0.09553223817703937,-1.680547380968263,-4.190937674675155e-08,0.9878148974510396,0.17658116700795679,17.125032949749112,77.50700135148008,9.847897428877635,7
25042000,transverse,7,8,0.6360775789343718,0.14497958354565876,2.312227280684754e-13,1.375345890824239,-1.375345890824008,29.113660038514396,27.362388244882254,1.7512717936321422,4.953545184350635,170.860755959739,-165.90721077538836,0.0006196734328248188,5.470212799951746e-07,0.0006191264115448236,46982.26274732809,50020701.65373388,-49973719.390986554,7993.799511090221,312347548.82158554,-312339555.02207446,9.876544027065393e-13,0.10268137211645367,2.7000623958883807e-13,38.18948831548897,3.2436275887448573e-12,1.376455582473099,5.551115123125783e-17,0.09117553677132051,23.911310640295596,2.12649332698156e-07,0.5706125968685186,0.035842210661798775,2.7011228438342876,21.836487049569918,8.681100297356602,7
25042000,transverse,6,9,0.6366972523671979,-0.1436758182501663,2.344070608873888e-13,1.3757307664889238,-1.3757307664886893,29.113660038511153,27.45356378165033,1.6600962568608217,3.577089601877536,193.3956110175615,-189.81852141568396,0.0006196734328247633,7.596706126378194e-07,0.0006189137622121255,46982.26274732706,36138772.94308223,-36091790.6803349,5772.5398772890385,254578244.5710649,-254572472.0311876,9.592326932761353e-13,0.33908705508130765,9.903189379656396e-14,32.19547044351867,-2.135180920959101e-12,0.3627715412099475,-0.0009334024274868236,-0.16631862881067505,22.997103528764768,-0.0009297233113843006,0.4114386547531751,-0.11962016129998254,-9.041777978906373,21.837347998769253,8.694101928813192,7
