seed,family,metric,spearman,perm_p_one_sided,n_pairs
25042000,dephasing,H_local,0.33980938416422285,0.031978680879413725,32
25042000,dephasing,H_times_sigma,0.24046920821114368,0.09726848767488341,32
25042000,dephasing,H_times_pvq2_over_gap,0.25733137829912023,0.08261159227181879,32
25042000,dephasing,C_times_sigma,0.3383431085043988,0.02731512325116589,32
25042000,transverse,H_local,0.40579178885630496,0.013990672884743505,32
25042000,transverse,H_times_sigma,0.25109970674486803,0.09193870752831446,32
25042000,transverse,H_times_pvq2_over_gap,0.44868035190615835,0.002664890073284477,32
25042000,transverse,C_times_sigma,0.748533724340176,0.0006662225183211193,32
25042001,dephasing,H_local,0.06470588235294117,0.41972018654230514,16
25042001,dephasing,H_times_sigma,-0.12058823529411765,0.6602265156562291,16
25042001,dephasing,H_times_pvq2_over_gap,-0.08823529411764705,0.6189207195203198,16
25042001,dephasing,C_times_sigma,0.11176470588235293,0.3451032644903398,16
25042001,transverse,H_local,0.35000000000000003,0.09460359760159893,16
25042001,transverse,H_times_sigma,0.19999999999999998,0.21985343104596936,16
25042001,transverse,H_times_pvq2_over_gap,0.3235294117647059,0.09793471019320453,16
25042001,transverse,C_times_sigma,0.3735294117647059,0.07195203197868089,16
25042002,dephasing,H_local,0.005498533724340175,0.47235176548967356,32
25042002,dephasing,H_times_sigma,-0.022360703812316713,0.5376415722851432,32
25042002,dephasing,H_times_pvq2_over_gap,-0.003299120234604105,0.5049966688874084,32
25042002,dephasing,C_times_sigma,0.2694281524926686,0.06129247168554297,32
25042002,transverse,H_local,-0.0784457478005865,0.6688874083944037,32
25042002,transverse,H_times_sigma,-0.05168621700879765,0.5956029313790806,32
25042002,transverse,H_times_pvq2_over_gap,-0.043255131964809374,0.5969353764157228,32
25042002,transverse,C_times_sigma,0.1950146627565982,0.14057295136575615,32
25042003,dephasing,H_local,0.35593841642228735,0.028647568287808126,32
25042003,dephasing,H_times_sigma,0.3632697947214076,0.019320453031312457,32
25042003,dephasing,H_times_pvq2_over_gap,0.32661290322580644,0.03930712858094604,32
25042003,dephasing,C_times_sigma,0.4464809384164222,0.009993337774816789,32
25042003,transverse,H_local,0.376099706744868,0.015989340439706862,32
25042003,transverse,H_times_sigma,0.46224340175953077,0.005996002664890073,32
25042003,transverse,H_times_pvq2_over_gap,0.44758064516129026,0.007994670219853431,32
25042003,transverse,C_times_sigma,0.6374633431085043,0.0006662225183211193,32
25042004,dephasing,H_local,0.32954545454545453,0.037308461025982675,32
25042004,dephasing,H_times_sigma,0.25183284457478,0.08261159227181879,32
25042004,dephasing,H_times_pvq2_over_gap,0.3658357771260997,0.019986675549633577,32
25042004,dephasing,C_times_sigma,0.36803519061583573,0.021985343104596936,32
25042004,transverse,H_local,0.5164956011730205,0.0013324450366422385,32
25042004,transverse,H_times_sigma,0.3834310850439882,0.013990672884743505,32
25042004,transverse,H_times_pvq2_over_gap,0.4637096774193548,0.004663557628247834,32
25042004,transverse,C_times_sigma,0.4131231671554252,0.005996002664890073,32
25042005,dephasing,H_local,0.5735294117647058,0.016655562958027982,16
25042005,dephasing,H_times_sigma,0.28823529411764703,0.12658227848101267,16
25042005,dephasing,H_times_pvq2_over_gap,0.5058823529411764,0.028647568287808126,16
25042005,dephasing,C_times_sigma,0.22647058823529412,0.1905396402398401,16
25042005,transverse,H_local,0.3205882352941176,0.1245836109260493,16
25042005,transverse,H_times_sigma,0.08823529411764705,0.38574283810792803,16
25042005,transverse,H_times_pvq2_over_gap,0.16764705882352943,0.2504996668887408,16
25042005,transverse,C_times_sigma,0.8264705882352942,0.0006662225183211193,16
