version,n_qubits,dimension,seed,family,metric,spearman_rho_vs_prominence,n_pairs,n_groups
v32.22,7,128,25042000,dephasing,S_group,0.011363636363636362,32,64
v32.22,7,128,25042000,dephasing,A_group,-0.405425219941349,32,64
v32.22,7,128,25042000,dephasing,C2_group,-0.3665689149560117,32,64
v32.22,7,128,25042000,dephasing,C_group,-0.3665689149560117,32,64
v32.22,7,128,25042000,transverse,S_group,0.1348973607038123,32,64
v32.22,7,128,25042000,transverse,A_group,-0.4266862170087976,32,64
v32.22,7,128,25042000,transverse,C2_group,-0.028225806451612902,32,64
v32.22,7,128,25042000,transverse,C_group,-0.028225806451612902,32,64
v32.22,7,128,25042001,dephasing,S_group,0.1764705882352941,16,32
v32.22,7,128,25042001,dephasing,A_group,0.2411764705882353,16,32
v32.22,7,128,25042001,dephasing,C2_group,0.34411764705882353,16,32
v32.22,7,128,25042001,dephasing,C_group,0.34411764705882353,16,32
v32.22,7,128,25042001,transverse,S_group,-0.10882352941176471,16,32
v32.22,7,128,25042001,transverse,A_group,0.044117647058823525,16,32
v32.22,7,128,25042001,transverse,C2_group,-0.032352941176470584,16,32
v32.22,7,128,25042001,transverse,C_group,-0.032352941176470584,16,32
v32.22,7,128,25042002,dephasing,S_group,0.44117647058823534,16,32
v32.22,7,128,25042002,dephasing,A_group,0.4941176470588235,16,32
v32.22,7,128,25042002,dephasing,C2_group,0.6264705882352941,16,32
v32.22,7,128,25042002,dephasing,C_group,0.6264705882352941,16,32
v32.22,7,128,25042002,transverse,S_group,0.17352941176470588,16,32
v32.22,7,128,25042002,transverse,A_group,0.3558823529411765,16,32
v32.22,7,128,25042002,transverse,C2_group,0.4676470588235294,16,32
v32.22,7,128,25042002,transverse,C_group,0.4676470588235294,16,32
v32.22,7,128,25042003,dephasing,S_group,-0.33944281524926684,32,64
v32.22,7,128,25042003,dephasing,A_group,0.43401759530791784,32,64
v32.22,7,128,25042003,dephasing,C2_group,0.2415689149560117,32,64
v32.22,7,128,25042003,dephasing,C_group,0.2415689149560117,32,64
v32.22,7,128,25042003,transverse,S_group,0.3321114369501466,32,64
v32.22,7,128,25042003,transverse,A_group,0.2008797653958944,32,64
v32.22,7,128,25042003,transverse,C2_group,0.5032991202346041,32,64
v32.22,7,128,25042003,transverse,C_group,0.5032991202346041,32,64
v32.22,7,128,25042004,dephasing,S_group,0.18235294117647058,16,32
v32.22,7,128,25042004,dephasing,A_group,0.4823529411764706,16,32
v32.22,7,128,25042004,dephasing,C2_group,0.5264705882352941,16,32
v32.22,7,128,25042004,dephasing,C_group,0.5264705882352941,16,32
v32.22,7,128,25042004,transverse,S_group,-0.2088235294117647,16,32
v32.22,7,128,25042004,transverse,A_group,0.888235294117647,16,32
v32.22,7,128,25042004,transverse,C2_group,0.7176470588235294,16,32
v32.22,7,128,25042004,transverse,C_group,0.7176470588235294,16,32
v32.22,7,128,25042005,dephasing,S_group,0.5941176470588235,16,32
