seed,family,metric,spearman,perm_p_one_sided,n_pairs
25042000,dephasing,H_local,0.33980938416422285,0.029985007496251874,32
25042000,dephasing,H_z,0.35960410557184747,0.02148925537231384,32
25042000,dephasing,C_E,0.4567448680351906,0.00399800099950025,32
25042000,transverse,H_local,0.40579178885630496,0.013493253373313344,32
25042000,transverse,H_z,0.34017595307917886,0.034482758620689655,32
25042000,transverse,C_E,0.7093108504398825,0.0004997501249375312,32
25042001,dephasing,H_local,0.06470588235294117,0.4217891054472764,16
25042001,dephasing,H_z,-0.02058823529411765,0.5372313843078461,16
25042001,dephasing,C_E,0.0823529411764706,0.38830584707646176,16
25042001,transverse,H_local,0.35000000000000003,0.09195402298850575,16
25042001,transverse,H_z,0.22352941176470587,0.19390304847576212,16
25042001,transverse,C_E,0.39999999999999997,0.07496251874062969,16
25042002,dephasing,H_local,0.005498533724340175,0.4817591204397801,32
25042002,dephasing,H_z,-0.017961876832844573,0.5442278860569715,32
25042002,dephasing,C_E,0.07038123167155425,0.351824087956022,32
25042002,transverse,H_local,-0.0784457478005865,0.6701649175412294,32
25042002,transverse,H_z,-0.04802052785923753,0.6186906546726637,32
25042002,transverse,C_E,0.14772727272727273,0.20239880059970014,32
25042003,dephasing,H_local,0.35593841642228735,0.026986506746626688,32
25042003,dephasing,H_z,0.3478739002932551,0.02498750624687656,32
25042003,dephasing,C_E,0.4241202346041055,0.010994502748625687,32
25042003,transverse,H_local,0.376099706744868,0.01649175412293853,32
25042003,transverse,H_z,0.38782991202346034,0.020989505247376312,32
25042003,transverse,C_E,0.6019061583577713,0.0009995002498750624,32
25042004,dephasing,H_local,0.32954545454545453,0.03698150924537731,32
25042004,dephasing,H_z,0.2969208211143695,0.0544727636181909,32
25042004,dephasing,C_E,0.35923753665689145,0.025987006496751622,32
25042004,transverse,H_local,0.5164956011730205,0.0009995002498750624,32
25042004,transverse,H_z,0.4857038123167155,0.00399800099950025,32
25042004,transverse,C_E,0.4915689149560116,0.0029985007496251873,32
25042005,dephasing,H_local,0.5735294117647058,0.014492753623188406,16
25042005,dephasing,H_z,0.4970588235294117,0.030484757621189407,16
25042005,dephasing,C_E,0.28529411764705886,0.14842578710644677,16
25042005,transverse,H_local,0.3205882352941176,0.12343828085957022,16
25042005,transverse,H_z,0.12941176470588234,0.30834582708645675,16
25042005,transverse,C_E,0.6852941176470588,0.0024987506246876563,16
25042006,dephasing,H_local,0.5769794721407624,0.0014992503748125937,32
25042006,dephasing,H_z,0.5993401759530792,0.0004997501249375312,32
25042006,dephasing,C_E,0.5692815249266862,0.0009995002498750624,32
25042006,transverse,H_local,0.1502932551319648,0.2048975512243878,32
25042006,transverse,H_z,0.1785190615835777,0.1539230384807596,32
25042006,transverse,C_E,-0.05535190615835778,0.6336831584207896,32
25042007,dephasing,H_local,0.3058823529411765,0.1199400299850075,16
25042007,dephasing,H_z,0.22647058823529412,0.191904047976012,16
25042007,dephasing,C_E,0.3058823529411765,0.11644177911044477,16
25042007,transverse,H_local,-0.08529411764705883,0.6426786606696652,16
25042007,transverse,H_z,-0.17352941176470588,0.7486256871564217,16
25042007,transverse,C_E,0.0588235294117647,0.4102948525737131,16
25042008,dephasing,H_local,0.3291788856304985,0.0399800099950025,32
25042008,dephasing,H_z,0.3980938416422287,0.015492253873063468,32
25042008,dephasing,C_E,0.19208211143695011,0.14192903548225888,32
25042008,transverse,H_local,0.43108504398826974,0.00849575212393803,32
25042008,transverse,H_z,0.3903958944281524,0.013493253373313344,32
25042008,transverse,C_E,0.593108504398827,0.0004997501249375312,32
25042009,dephasing,H_local,0.7823529411764706,0.0004997501249375312,16
25042009,dephasing,H_z,0.5147058823529412,0.020989505247376312,16
25042009,dephasing,C_E,0.6764705882352942,0.004497751124437781,16
25042009,transverse,H_local,0.25,0.17541229385307347,16
25042009,transverse,H_z,0.09705882352941177,0.36481759120439783,16
25042009,transverse,C_E,0.17058823529411765,0.26686656671664166,16
25042010,dephasing,H_local,0.06176470588235294,0.4172913543228386,16
25042010,dephasing,H_z,0.08823529411764705,0.37231384307846077,16
25042010,dephasing,C_E,-0.02941176470588235,0.5667166416791605,16
25042010,transverse,H_local,0.8470588235294119,0.0004997501249375312,16
25042010,transverse,H_z,0.8558823529411764,0.0004997501249375312,16
25042010,transverse,C_E,0.7617647058823529,0.0014992503748125937,16
25042011,dephasing,H_local,0.21176470588235297,0.20189905047476261,16
25042011,dephasing,H_z,0.09411764705882353,0.35582208895552225,16
25042011,dephasing,C_E,0.31176470588235294,0.12443778110944528,16
25042011,transverse,H_local,0.7823529411764706,0.0004997501249375312,16
25042011,transverse,H_z,0.6176470588235293,0.0034982508745627187,16
25042011,transverse,C_E,0.7176470588235294,0.0009995002498750624,16
