=== Soft Spaces Phase 3.1 v30.2 COMPLETE EIGENSPACE HOTSPOT SCAN ===
8Q; term counts = [5, 7, 9, 11]
Primary working model = 11 terms
Local energy-order neighbourhood radius = 5 eigenspaces

=== CASE SUMMARY ===
seed | terms | groups | group min:max | scored | positive | top prominence
25042000 |    11 |     64 |    4:4    |     64 |       32 | +0.632689923
25042001 |    11 |     32 |    8:8    |     32 |       16 | +0.293291777
25042002 |    11 |     64 |    4:4    |     64 |       32 | +0.317501801
25042003 |    11 |     64 |    4:4    |     64 |       33 | +0.435642291
25042004 |    11 |     64 |    4:4    |     64 |       31 | +0.413099271
25042005 |    11 |     32 |    8:8    |     32 |       17 | +0.345170174
25042006 |    11 |     64 |    4:4    |     64 |       35 | +0.468964227
25042007 |    11 |     32 |    8:8    |     32 |       16 | +0.280337799
25042008 |    11 |     64 |    4:4    |     64 |       31 | +0.518936595
25042009 |    11 |     32 |    8:8    |     32 |       17 | +0.497550798
25042010 |    11 |     32 |    8:8    |     32 |       16 | +0.397637724
25042011 |    11 |     32 |    8:8    |     32 |       17 | +0.409481225

=== SUMMARY BY TERM COUNT ===
terms | median groups | median max-group | median scored | median positive | median top prominence
    5 |           nan |              nan |           nan |             nan | +nan
    7 |           nan |              nan |           nan |             nan | +nan
    9 |           nan |              nan |           nan |             nan | +nan
   11 |          48.0 |              6.0 |          48.0 |            24.0 | +0.411290248

=== TOP 10 HOTSPOTS FOR PRIMARY 11-TERM MODEL ===
seed | rank | group | eig-index range | size | energy | robust | prominence
25042004 |    5 |    17 |  68:71  |    4 | -0.972438859 | +0.232326970 | +0.309293935
25042004 |    6 |    61 | 244:247 |    4 | +2.603895411 | +0.526138958 | +0.300727906
25042004 |    7 |    41 | 164:167 |    4 | +0.517058206 | +0.245150112 | +0.286020849
25042004 |    8 |    26 | 104:107 |    4 | -0.153429971 | +0.198124946 | +0.266193716
25042004 |    9 |    10 |  40:43  |    4 | -2.044332664 | +0.145436354 | +0.266103922
25042004 |   10 |    22 |  88:91  |    4 | -0.517058206 | +0.235185144 | +0.262009109
25042005 |    1 |    25 | 200:207 |    8 | +2.272101750 | +0.267314411 | +0.345170174
25042005 |    2 |    26 | 208:215 |    8 | +2.284082180 | +0.255060942 | +0.332916705
25042005 |    3 |     6 |  48:55  |    8 | -2.272101750 | +0.260119004 | +0.310169033
25042005 |    4 |     5 |  40:47  |    8 | -2.284082180 | +0.293442582 | +0.299422402
25042005 |    5 |    31 | 248:255 |    8 | +2.641531706 | +0.146807194 | +0.200758102
25042005 |    6 |    24 | 192:199 |    8 | +2.271922778 | +0.125217435 | +0.176546569
25042005 |    7 |    27 | 216:223 |    8 | +2.290392087 | +0.112524456 | +0.166475364
25042005 |    8 |     7 |  56:63  |    8 | -2.271922778 | +0.133850054 | +0.153002688
25042005 |    9 |     0 |   0:7   |    8 | -2.641531706 | +0.166957760 | +0.148595012
25042005 |   10 |    16 | 128:135 |    8 | +0.486011712 | +0.048128603 | +0.108521363
25042006 |    1 |    62 | 248:251 |    4 | +3.256285641 | +0.299157392 | +0.468964227
25042006 |    2 |    29 | 116:119 |    4 | -0.533861454 | +0.345099672 | +0.449571556
25042006 |    3 |    34 | 136:139 |    4 | +0.533861454 | +0.329109464 | +0.430732455
25042006 |    4 |     1 |   4:7   |    4 | -3.256285641 | +0.294444672 | +0.429063318
25042006 |    5 |    51 | 204:207 |    4 | +2.056269305 | +0.171614489 | +0.415424815
25042006 |    6 |    12 |  48:51  |    4 | -2.056269305 | +0.093062015 | +0.373548522
25042006 |    7 |    52 | 208:211 |    4 | +2.154677816 | +0.141222696 | +0.363303869
25042006 |    8 |    13 |  52:55  |    4 | -1.698279204 | +0.142216186 | +0.354869934
25042006 |    9 |    11 |  44:47  |    4 | -2.154677816 | +0.099057217 | +0.347309414
25042006 |   10 |     4 |  16:19  |    4 | -2.955263840 | +0.096809311 | +0.309145148
25042007 |    1 |    18 | 144:151 |    8 | +0.326343271 | +0.176920194 | +0.280337799
25042007 |    2 |    13 | 104:111 |    8 | -0.326343271 | +0.199067866 | +0.274037601
25042007 |    3 |    23 | 184:191 |    8 | +1.518032401 | +0.117819407 | +0.246722894
25042007 |    4 |     6 |  48:55  |    8 | -2.126134144 | +0.106787012 | +0.223302868
25042007 |    5 |    15 | 120:127 |    8 | -0.072393223 | +0.075905742 | +0.208221824
25042007 |    6 |     8 |  64:71  |    8 | -1.518032401 | +0.073353700 | +0.190734316
25042007 |    7 |    25 | 200:207 |    8 | +2.126134144 | +0.074615348 | +0.179090228
25042007 |    8 |    16 | 128:135 |    8 | +0.072393223 | +0.027334601 | +0.159650682
25042007 |    9 |    26 | 208:215 |    8 | +2.260287320 | -0.030433031 | +0.069640019
25042007 |   10 |     5 |  40:47  |    8 | -2.260287320 | -0.053296252 | +0.042696169
25042008 |    1 |    54 | 216:219 |    4 | +2.430499464 | +0.295381171 | +0.518936595
25042008 |    2 |    17 |  68:71  |    4 | -1.479821699 | +0.436774455 | +0.485157191
25042008 |    3 |     9 |  36:39  |    4 | -2.430499464 | +0.243964317 | +0.465413178
25042008 |    4 |    46 | 184:187 |    4 | +1.479821699 | +0.356875577 | +0.380216810
25042008 |    5 |    34 | 136:139 |    4 | +0.513901562 | +0.346429292 | +0.357014842
25042008 |    6 |    60 | 240:243 |    4 | +3.411702675 | +0.355102472 | +0.346375498
25042008 |    7 |     3 |  12:15  |    4 | -3.411702675 | +0.297514383 | +0.309797478
25042008 |    8 |    57 | 228:231 |    4 | +3.311589746 | +0.298221894 | +0.303353347
25042008 |    9 |     1 |   4:7   |    4 | -3.537365841 | +0.251847306 | +0.251310352
25042008 |   10 |    22 |  88:91  |    4 | -0.999394157 | +0.237029196 | +0.249463763
25042009 |    1 |    13 | 104:111 |    8 | -0.676365892 | +0.203627772 | +0.497550798
25042009 |    2 |    18 | 144:151 |    8 | +0.676365892 | +0.076670588 | +0.355832156
25042009 |    3 |    12 |  96:103 |    8 | -0.687951777 | -0.043077481 | +0.250845545
25042009 |    4 |    21 | 168:175 |    8 | +1.010730590 | +0.114632917 | +0.241952208
25042009 |    5 |    19 | 152:159 |    8 | +0.687951777 | -0.037813928 | +0.241347639
25042009 |    6 |    31 | 248:255 |    8 | +1.984451690 | +0.129393712 | +0.220531424
25042009 |    7 |    10 |  80:87  |    8 | -1.010730590 | +0.108895260 | +0.219054460
25042009 |    8 |     0 |   0:7   |    8 | -1.984451690 | +0.132871184 | +0.209640014
25042009 |    9 |     1 |   8:15  |    8 | -1.977756062 | +0.128910878 | +0.193904838
25042009 |   10 |    30 | 240:247 |    8 | +1.977756062 | +0.121680137 | +0.182610175
25042010 |    1 |     0 |   0:7   |    8 | -3.236826374 | +0.040089630 | +0.397637724
25042010 |    2 |    31 | 248:255 |    8 | +3.236826374 | +0.042266429 | +0.353253157
25042010 |    3 |     2 |  16:23  |    8 | -3.031249289 | -0.034992858 | +0.322555237
25042010 |    4 |    29 | 232:239 |    8 | +3.031249289 | +0.005062664 | +0.316049392
25042010 |    5 |     4 |  32:39  |    8 | -2.523454274 | -0.099788407 | +0.301002234
25042010 |    6 |    27 | 216:223 |    8 | +2.523454274 | -0.081795999 | +0.279078538
25042010 |    7 |    12 |  96:103 |    8 | -0.614200660 | -0.233843535 | +0.241910496
25042010 |    8 |    19 | 152:159 |    8 | +0.614200660 | -0.201356635 | +0.230503437
25042010 |    9 |    17 | 136:143 |    8 | +0.365614048 | -0.205933315 | +0.195426216
25042010 |   10 |    25 | 200:207 |    8 | +2.209168397 | -0.214379556 | +0.159326950
25042011 |    1 |    31 | 248:255 |    8 | +3.509334563 | -0.081810309 | +0.409481225
25042011 |    2 |     0 |   0:7   |    8 | -3.509334563 | -0.082854464 | +0.408504820
25042011 |    3 |     1 |   8:15  |    8 | -3.507340058 | -0.093404706 | +0.343311753
25042011 |    4 |    30 | 240:247 |    8 | +3.507340058 | -0.088575659 | +0.320436729
25042011 |    5 |     8 |  64:71  |    8 | -1.399971890 | +0.168611675 | +0.312439862
25042011 |    6 |     6 |  48:55  |    8 | -1.685246392 | +0.152018515 | +0.300263701
25042011 |    7 |     7 |  56:63  |    8 | -1.647107103 | +0.032744719 | +0.268306795
25042011 |    8 |    25 | 200:207 |    8 | +1.685246392 | +0.135118769 | +0.254609820
25042011 |    9 |    23 | 184:191 |    8 | +1.399971890 | +0.126356121 | +0.242456968
25042011 |   10 |    24 | 192:199 |    8 | +1.647107103 | +0.027716603 | +0.226029284

Interpretation:
  group            = exact eigenspace number in ascending energy order.
  eig-index range  = eigenvector indices belonging to that complete eigenspace.
  robust           = minimum REAL-minus-NULL score across dephasing/transverse.
  prominence       = robust minus local median of neighbouring eigenspaces.

Decision use:
  v30.2 is a discovery scan, not a final claim.
  We are looking for repeated non-zero prominence patterns in the 11-term model
  and whether comparable structure appears across multiple Hamiltonian seeds.
  Any candidate for Phase 3 must later survive dedicated invariance, NULL,
  perturbation-family and seed-replication tests.
