geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max
0.75,NULL,2,12,0.00035773558744923214,2.0833242978354754e-31,0.0006229701027830706,4.6196085213539374e-52,0.0021406265027825878,1.8556748143794985,1.8400462255338246,0.8843529858906733,0.4261105695092091,3.5520631720269416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002264651628246004,0.0,0.0004341508953171527,0.0,0.0015303306011285745,0.00017886779372461607,1.0416621489177377e-31,0.0003114850513915353,2.3098042606769687e-52,0.0010703132513912939
0.75,NULL,4,12,0.0009268339795955742,0.0006934907859518724,0.0008574920560631091,3.890462426909476e-31,0.0023458009170211768,1.3576622304361161,1.4127108471656553,0.7211692589030574,0.4261105695092091,2.2923968721253294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004187162314854699,0.0002858227807181756,0.00044560446147687705,0.0,0.0015484422517936301,0.00023170849489889355,0.0001733726964879681,0.00021437301401577727,9.72615606727369e-32,0.0005864502292552942
0.75,NULL,8,12,0.08389388906957816,0.0021970676798458953,0.26814614904028233,1.1250016435104038e-05,0.9731178338586867,0.7845428922255001,0.7676394840382188,0.4661635935444959,0.04181982418634611,1.735105216086867,0.010416666666666666,0.0,0.03454817489953541,0.0,0.125,0.08333333333333333,0.0,0.2763853991962833,0.0,1.0,0.028355460400405614,0.0007845883208781031,0.09095377725626332,3.2113304493602565e-06,0.3299970735352349,0.01048673613369727,0.0002746334599807369,0.03351826863003529,1.4062520543880047e-06,0.12163972923233583
0.75,NULL,12,12,0.24666957645581392,0.003450772817641788,0.4198036132915532,0.0005642825252076029,0.9744572162729952,0.5572287865589186,0.5053311602379496,0.41113002856208275,0.0379266580902895,1.2926523367720115,0.020833333333333332,0.0,0.03608439182435161,0.0,0.08333333333333333,0.25,0.0,0.4330127018922193,0.0,1.0,0.07713406444275932,0.0012431428475936813,0.1317853298336327,0.00020100158434321408,0.3299939317902559,0.020555798037984498,0.000287564401470149,0.034983634440962766,4.7023543767300244e-05,0.0812047680227496
0.75,NULL,16,12,0.4106440477015188,0.011135099463808036,0.47951321924430035,0.002750430395728619,0.9919057177488777,0.33264523056710243,0.4228611727811793,0.2756871155239704,0.02038030073495989,0.784257710947398,0.026041666666666668,0.0,0.030812915536977167,0.0,0.0625,0.4166666666666667,0.0,0.4930066485916347,0.0,1.0,0.11974370169827442,0.0028283298628834995,0.14109198511370338,0.0006208462998804863,0.32999008144605607,0.025665252981344925,0.0006959437164880023,0.029969576202768772,0.0001719018997330387,0.061994107359304856
0.75,RANDOM,2,12,6.099449562421831e-06,6.0726978558959716e-33,1.363878384690656e-05,1.7106617285974343e-51,3.6596697374530986e-05,1.5168023426286978,1.4854706700214697,0.759851287967494,0.4426814786409885,3.2709683642656415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.357308217082117e-06,0.0,9.743237372314025e-06,0.0,2.61438493024927e-05,3.0497247812109157e-06,3.0363489279479858e-33,6.81939192345328e-06,8.553308642987172e-52,1.8298348687265493e-05
0.75,RANDOM,4,12,0.0002784386168435598,4.9404571982509576e-06,0.0006054786504669815,5.360693226539231e-49,0.0021772232001571186,1.2501500309017153,1.2854974822491612,0.547049833909355,0.4426814786409885,2.1709500893899336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010130147648354527,1.5177214051818945e-06,0.0002191657726365104,0.0,0.0007901258243295684,6.960965421088995e-05,1.2351142995627394e-06,0.00015136966261674537,1.3401733066348077e-49,0.0005443058000392796
0.75,RANDOM,8,12,0.002891500297085217,0.002145566959980841,0.004569975772362111,1.9761828793002377e-05,0.017692389249123384,0.921164649073367,0.8431220283176608,0.35879402823398326,0.4426814786409885,1.4707070886508236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007280345490839321,0.00048276831370747066,0.0010934055903483295,5.070356769692855e-06,0.004236668853896072,0.00036143753713565213,0.00026819586999760514,0.0005712469715452639,2.470228599125297e-06,0.002211548656140423
0.75,RANDOM,12,12,0.08484820487349228,0.0031178167607970545,0.2685069500711944,3.7965799413147434e-05,0.9752683412758658,0.690051849185739,0.6795244476599889,0.3611733507982166,0.03799000080189607,1.3911605568691714,0.006944444444444444,0.0,0.023032116599690275,0.0,0.08333333333333333,0.08333333333333333,0.0,0.2763853991962833,0.0,1.0,0.024745053220760663,0.0007674930668003159,0.07894651302122212,8.548363568163785e-06,0.28655813389988083,0.007070683739457688,0.0002598180633997545,0.02237557917259953,3.163816617762286e-06,0.08127236177298881
0.75,RANDOM,16,12,0.16678298627446475,0.003500817161607153,0.36202735534665187,0.0007606054081798934,0.9774089677786483,0.5952306130697279,0.44210963945682824,0.40206784833590264,0.03416024967060505,1.3881033329913852,0.010416666666666666,0.0,0.023292374765622806,0.0,0.0625,0.16666666666666666,0.0,0.3726779962499649,0.0,1.0,0.04551584563742913,0.0009275421206179216,0.09955037675104637,0.00014377024108685842,0.2869540187639389,0.010423936642154047,0.00021880107260044705,0.022626709709165742,4.753783801124334e-05,0.06108806048616552
0.75,REAL,2,1,0.989523320134482,0.989523320134482,0.0,0.989523320134482,0.989523320134482,0.02474182587142426,0.02474182587142426,0.0,0.02474182587142426,0.02474182587142426,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.494761660067241,0.494761660067241,0.0,0.494761660067241,0.494761660067241
0.75,REAL,4,1,0.9940097475542857,0.9940097475542857,0.0,0.9940097475542857,0.9940097475542857,0.015001254255438745,0.015001254255438745,0.0,0.015001254255438745,0.015001254255438745,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.24850243688857143,0.24850243688857143,0.0,0.24850243688857143,0.24850243688857143
